ticket,side,open_time,close_time,symbol,lot_size,observed_price,pnl,duration_seconds,duration_minutes,win,pnl_per_0_01_lot,side_code,open_date,hour,minute,minute_5,weekday,month,quarter,clock_bucket,gap_from_previous_entry_minutes,gap_from_previous_close_minutes,previous_pnl,previous_win,cumulative_pnl_before,same_direction_as_previous,active_positions_before_entry,entry_while_position_active
36094988,Buy,2025-09-25 19:32:56,2025-09-25 19:42:55,XAUUSD.f,0.01,3736.13,0.97,599.0,9.983333333333333,True,0.97,1,2025-09-25,19,32,30,Thursday,2025-09,2025Q3,17:00-21:59,,,,,0.0,False,0,False
36095791,Sell,2025-09-25 19:43:46,2025-09-25 19:45:31,XAUUSD.f,0.01,3736.72,2.52,105.0,1.75,True,2.52,0,2025-09-25,19,43,40,Thursday,2025-09,2025Q3,17:00-21:59,10.833333333333334,0.85,0.97,True,0.97,False,0,False
36148327,Buy,2025-09-26 18:47:57,2025-09-26 18:54:27,XAUUSD.f,0.01,3779.39,0.82,390.0,6.5,True,0.82,1,2025-09-26,18,47,45,Friday,2025-09,2025Q3,17:00-21:59,1384.1833333333334,1382.4333333333334,2.52,True,3.49,False,0,False
36168589,Buy,2025-09-29 08:46:42,2025-09-29 08:52:58,XAUUSD.f,0.01,3805.93,3.9,376.0,6.266666666666667,True,3.9,1,2025-09-29,8,46,45,Monday,2025-09,2025Q3,08:00-12:59,3718.75,3712.25,0.82,True,4.3100000000000005,True,0,False
36168590,Buy,2025-09-29 08:46:47,2025-09-29 08:52:55,XAUUSD.f,0.01,3805.93,3.52,368.0,6.133333333333334,True,3.52,1,2025-09-29,8,46,45,Monday,2025-09,2025Q3,08:00-12:59,0.08333333333333333,-6.183333333333334,3.9,True,8.21,True,1,True
36227385,Sell,2025-09-30 11:20:52,2025-09-30 11:22:05,XAUUSD.f,0.01,3833.38,6.03,73.0,1.2166666666666666,True,6.03,0,2025-09-30,11,20,20,Tuesday,2025-09,2025Q3,08:00-12:59,1594.0833333333333,1587.95,3.52,True,11.73,False,0,False
36227388,Sell,2025-09-30 11:20:57,2025-09-30 11:23:20,XAUUSD.f,0.03,3833.24,6.79,143.0,2.3833333333333333,True,2.263333333333333,0,2025-09-30,11,20,20,Tuesday,2025-09,2025Q3,08:00-12:59,0.08333333333333333,-1.1333333333333333,6.03,True,17.76,True,1,True
36228676,Sell,2025-09-30 11:25:56,2025-09-30 11:30:17,XAUUSD.f,0.01,3830.54,12.91,261.0,4.35,True,12.91,0,2025-09-30,11,25,25,Tuesday,2025-09,2025Q3,08:00-12:59,4.983333333333333,2.6,6.79,True,24.55,True,0,False
36274877,Buy,2025-10-01 09:25:14,2025-10-01 09:29:01,XAUUSD.f,0.01,3858.64,2.01,227.0,3.783333333333333,True,2.01,1,2025-10-01,9,25,25,Wednesday,2025-10,2025Q4,08:00-12:59,1319.3,1314.95,12.91,True,37.46,False,0,False
36283671,Sell,2025-10-01 11:28:02,2025-10-01 11:34:32,XAUUSD.f,0.01,3893.34,6.25,390.0,6.5,True,6.25,0,2025-10-01,11,28,25,Wednesday,2025-10,2025Q4,08:00-12:59,122.8,119.01666666666667,2.01,True,39.47,False,0,False
36322976,Buy,2025-10-02 08:13:35,2025-10-02 09:05:06,XAUUSD.f,0.01,3868.72,1.21,3091.0,51.516666666666666,True,1.21,1,2025-10-02,8,13,10,Thursday,2025-10,2025Q4,08:00-12:59,1245.55,1239.05,6.25,True,45.72,False,0,False
36334931,Buy,2025-10-02 15:17:55,2025-10-02 15:20:28,XAUUSD.f,0.01,3881.12,1.43,153.0,2.55,True,1.43,1,2025-10-02,15,17,15,Thursday,2025-10,2025Q4,13:00-16:59,424.3333333333333,372.81666666666666,1.21,True,46.93,True,0,False
