ticket,missing_hours,duration_seconds,status,panel_rows,max_quote_staleness_seconds,exit_quote_staleness_seconds
36094988,[],599.0,INCLUDED,40.0,1.29,0.345
36095791,[],105.0,INCLUDED,7.0,0.402,0.402
36148327,[],390.0,INCLUDED,26.0,1.025,0.059
36168589,[],376.0,INCLUDED,26.0,1.358,0.055
36168590,[],368.0,INCLUDED,25.0,1.106,0.283
36227385,[],73.0,INCLUDED,5.0,0.431,0.015
36227388,[],143.0,INCLUDED,10.0,0.572,0.001
36228676,[],261.0,INCLUDED,18.0,0.485,0.011
36274877,[],227.0,INCLUDED,16.0,1.3,0.26
36283671,[],390.0,INCLUDED,26.0,1.525,0.907
36322976,[],3091.0,EXCLUDED_STALE_QUOTES,,16.268,
36334931,[],153.0,INCLUDED,11.0,0.776,0.776
36335183,[],510.0,INCLUDED,34.0,1.053,0.3
36335196,[],477.0,INCLUDED,32.0,3.733,0.08
36337657,[],170.0,INCLUDED,12.0,0.509,0.022
36368405,[],343.0,EXCLUDED_STALE_QUOTES,,10.183,
36383087,[],289.0,INCLUDED,20.0,2.805,0.161
36414174,[],1560.0,INCLUDED,104.0,4.096,0.039
36416362,[],338.0,INCLUDED,23.0,1.604,0.322
36450406,[],322.0,INCLUDED,22.0,1.949,0.138
36450588,[],701.0,INCLUDED,47.0,2.107,0.043
36451248,[],264.0,INCLUDED,18.0,4.267,0.992
36508294,[],790.0,INCLUDED,53.0,5.527,2.258
36508676,[],220.0,INCLUDED,15.0,2.149,0.16
36508993,[],218.0,INCLUDED,15.0,0.553,0.103
36561296,[],505.0,INCLUDED,34.0,2.084,0.017
36562289,[],854.0,INCLUDED,57.0,4.0,0.834
36562770,[],329.0,INCLUDED,22.0,2.079,0.259
36640713,[],286.0,INCLUDED,20.0,0.641,0.021
36682106,[],360.0,INCLUDED,24.0,0.979,0.089
36725889,[],138.0,INCLUDED,10.0,0.474,0.12
36726171,[],258.0,INCLUDED,18.0,0.732,0.111
36768836,[],477.0,INCLUDED,32.0,3.38,0.03
36829765,[],203.0,INCLUDED,14.0,2.034,0.162
36829878,[],178.0,INCLUDED,12.0,2.442,0.221
36829995,[],991.0,INCLUDED,67.0,6.264,0.14
36893509,[],647.0,INCLUDED,44.0,1.826,0.126
36902372,[],87.0,INCLUDED,6.0,0.328,0.018
36954767,[],171.0,INCLUDED,12.0,0.835,0.305
36997575,[],215.0,INCLUDED,15.0,1.29,0.011
36998918,[],485.0,INCLUDED,33.0,0.218,0.218
37005647,[],228.0,INCLUDED,16.0,0.195,0.18
37045628,[],87.0,INCLUDED,6.0,0.672,0.003
37082195,[],110.0,INCLUDED,8.0,0.564,0.027
37145681,[],296.0,INCLUDED,20.0,1.962,0.079
37162697,[],589.0,INCLUDED,40.0,3.024,0.16
37217619,[],197.0,INCLUDED,14.0,0.352,0.352
37296835,[],711.0,INCLUDED,48.0,2.504,0.198
37386001,[],669.0,INCLUDED,45.0,1.501,0.04
37400976,[],513.0,INCLUDED,35.0,2.269,0.109
37442389,[],408.0,INCLUDED,28.0,3.006,0.022
37477144,[],5745.0,INCLUDED,383.0,9.402,0.889
37507379,[],5057.0,EXCLUDED_STALE_QUOTES,,15.15,
37542639,[],996.0,INCLUDED,67.0,2.489,0.086
37542995,[],291.0,INCLUDED,20.0,1.959,0.639
37543683,[],776.0,INCLUDED,52.0,7.408,0.145
37610153,[],2865.0,INCLUDED,191.0,6.592,0.084
37701576,['2025-11-14T10:00:00+00:00'],4252.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
37748984,[],1503.0,EXCLUDED_STALE_QUOTES,,10.721,
37791981,[],1421.0,INCLUDED,95.0,8.443,0.029
37836776,[],300.0,INCLUDED,20.0,1.523,0.472
37874673,[],1844.0,INCLUDED,123.0,1.993,1.078
37928869,[],2169.0,INCLUDED,145.0,3.37,0.462
37964561,[],2675.0,INCLUDED,179.0,5.481,0.13
38045554,[],3679.0,INCLUDED,246.0,8.512,0.303
38119105,[],845.0,INCLUDED,57.0,3.604,0.282
38122859,[],1493.0,INCLUDED,100.0,7.145,0.783
38185142,[],2205.0,INCLUDED,147.0,2.46,0.241
38220734,[],3662.0,INCLUDED,245.0,4.323,1.5
38258178,[],2210.0,INCLUDED,148.0,5.275,0.001
38293895,[],3007.0,INCLUDED,201.0,7.115,0.496
38327555,[],1058.0,INCLUDED,71.0,1.658,1.361
38381092,[],12347.0,INCLUDED,824.0,4.103,0.044
38394143,[],1203.0,INCLUDED,81.0,5.285,0.118
38422656,[],1924.0,INCLUDED,129.0,4.183,0.333
38441014,['2025-12-10T10:00:00+00:00'],3900.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
