cooldown_bin,prior_win_code,candidate_minutes,entry_bars,entry_rate_per_10k_minutes
0-5s,0,4,0,0.0
0-5s,1,43,1,232.5581395348837
1-2m,0,54,0,0.0
1-2m,1,362,2,55.248618784530386
10-30m,0,918,8,87.14596949891067
10-30m,1,6982,3,4.296763105127471
15-30s,0,11,0,0.0
15-30s,1,89,0,0.0
2-5m,0,160,2,125.0
2-5m,1,1074,4,37.243947858473
30-60s,0,33,1,303.030303030303
30-60s,1,174,0,0.0
5-10m,0,260,1,38.46153846153846
5-10m,1,1766,5,28.312570781426952
5-15s,0,7,0,0.0
5-15s,1,57,0,0.0
>30m,0,14142,43,30.405883184839485
>30m,1,314237,344,10.947151353914402
nan,-1,1,1,10000.0
