ticket,evaluation_scope,observed_entry_time,observed_direction,observed_price,observed_close_time,observed_pnl,candidate_entry_time,candidate_direction,entry_error_seconds,entry_match_within_60s,direction_match,model,entry_match_within_1s,entry_match_within_5s,entry_match_within_15s,entry_match_within_30s,entry_match_within_one_m1_bar
36094988,initial training period,2025-09-25 19:32:56,Buy,3736.13,2025-09-25 19:42:55,0.97,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36095791,initial training period,2025-09-25 19:43:46,Sell,3736.72,2025-09-25 19:45:31,2.52,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36148327,initial training period,2025-09-26 18:47:57,Buy,3779.39,2025-09-26 18:54:27,0.82,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36168589,initial training period,2025-09-29 08:46:42,Buy,3805.93,2025-09-29 08:52:58,3.9,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36168590,initial training period,2025-09-29 08:46:47,Buy,3805.93,2025-09-29 08:52:55,3.52,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36227385,initial training period,2025-09-30 11:20:52,Sell,3833.38,2025-09-30 11:22:05,6.03,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36227388,initial training period,2025-09-30 11:20:57,Sell,3833.24,2025-09-30 11:23:20,6.79,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36228676,initial training period,2025-09-30 11:25:56,Sell,3830.54,2025-09-30 11:30:17,12.91,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36274877,initial training period,2025-10-01 09:25:14,Buy,3858.64,2025-10-01 09:29:01,2.01,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36283671,initial training period,2025-10-01 11:28:02,Sell,3893.34,2025-10-01 11:34:32,6.25,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36322976,initial training period,2025-10-02 08:13:35,Buy,3868.72,2025-10-02 09:05:06,1.21,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36334931,initial training period,2025-10-02 15:17:55,Buy,3881.12,2025-10-02 15:20:28,1.43,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36335183,initial training period,2025-10-02 15:23:08,Buy,3882.36,2025-10-02 15:31:38,1.32,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36335196,initial training period,2025-10-02 15:23:37,Buy,3882.34,2025-10-02 15:31:34,1.22,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36337657,initial training period,2025-10-02 16:13:13,Sell,3890.78,2025-10-02 16:16:03,1.81,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36368405,initial training period,2025-10-03 10:17:25,Buy,3860.35,2025-10-03 10:23:08,1.2,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36383087,initial training period,2025-10-03 18:18:08,Buy,3878.35,2025-10-03 18:22:57,7.8,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36414174,initial training period,2025-10-06 12:14:39,Sell,3943.07,2025-10-06 12:40:39,2.46,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36416362,initial training period,2025-10-06 14:10:55,Sell,3938.03,2025-10-06 14:16:33,3.02,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36450406,initial training period,2025-10-07 08:47:44,Sell,3962.08,2025-10-07 08:53:06,-1.71,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36450588,initial training period,2025-10-07 08:53:49,Sell,3964.19,2025-10-07 09:05:30,3.62,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36451248,initial training period,2025-10-07 09:17:36,Buy,3963.3,2025-10-07 09:22:00,1.43,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36508294,initial training period,2025-10-08 12:19:47,Sell,4036.35,2025-10-08 12:32:57,4.98,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36508676,initial training period,2025-10-08 12:36:16,Buy,4035.65,2025-10-08 12:39:56,2.27,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36508993,initial training period,2025-10-08 12:42:32,Buy,4039.03,2025-10-08 12:46:10,5.04,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36561296,initial training period,2025-10-09 14:04:35,Sell,4039.78,2025-10-09 14:13:00,2.84,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36562289,initial training period,2025-10-09 14:19:30,Buy,4035.78,2025-10-09 14:33:44,4.04,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36562770,initial training period,2025-10-09 14:42:13,Buy,4042.07,2025-10-09 14:47:42,2.88,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36640713,initial training period,2025-10-10 19:29:10,Buy,3989.25,2025-10-10 19:33:56,4.56,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36682106,initial training period,2025-10-13 15:38:45,Sell,4078.64,2025-10-13 15:44:45,0.71,,,,False,False,MODEL 0 time/session,False,False,False,False,False
36725889,initial training period,2025-10-14 10:42:54,Sell,4122.81,2025-10-14 10:45:12,4.94,,,,False,False,MODEL 0 time/session,False,False,False,False,False
