ticket,fold,observed_entry_time,observed_close_time,observed_direction,observed_entry_price,inferred_exit_price_100oz,observed_pnl,candidate,predicted_exit_time,predicted_exit_price_reference,exit_reason,close_time_error_seconds,exit_price_error,win_loss_match,evaluation_scope
36094988,0,2025-09-25 19:32:56,2025-09-25 19:42:55,Buy,3736.13,3737.1,0.97,fixed_barriers,2025-09-25 19:46:00,3733.6600000000003,stop_proxy,185.0,3.4399999999996,False,initial training period (in-sample parameters)
36095791,0,2025-09-25 19:43:46,2025-09-25 19:45:31,Sell,3736.72,3734.2,2.52,fixed_barriers,2025-09-25 19:47:00,3732.85,target_proxy,89.0,1.349999999999909,True,initial training period (in-sample parameters)
36148327,0,2025-09-26 18:47:57,2025-09-26 18:54:27,Buy,3779.39,3780.21,0.82,fixed_barriers,2025-09-26 19:14:00,3776.92,stop_proxy,1173.0,3.2899999999999636,False,initial training period (in-sample parameters)
36168589,0,2025-09-29 08:46:42,2025-09-29 08:52:58,Buy,3805.93,3809.83,3.9,fixed_barriers,2025-09-29 08:48:00,3803.46,stop_proxy,298.0,6.369999999999891,False,initial training period (in-sample parameters)
36168590,0,2025-09-29 08:46:47,2025-09-29 08:52:55,Buy,3805.93,3809.45,3.52,fixed_barriers,2025-09-29 08:48:00,3803.46,stop_proxy,295.0,5.989999999999782,False,initial training period (in-sample parameters)
36227385,0,2025-09-30 11:20:52,2025-09-30 11:22:05,Sell,3833.38,3827.35,6.03,fixed_barriers,2025-09-30 11:22:00,3829.51,target_proxy,5.0,2.1600000000003092,True,initial training period (in-sample parameters)
36227388,0,2025-09-30 11:20:57,2025-09-30 11:23:20,Sell,3833.24,3830.9766666666665,6.79,fixed_barriers,2025-09-30 11:22:00,3829.37,target_proxy,80.0,1.6066666666665697,True,initial training period (in-sample parameters)
36228676,0,2025-09-30 11:25:56,2025-09-30 11:30:17,Sell,3830.54,3817.63,12.91,fixed_barriers,2025-09-30 11:27:00,3833.0099999999998,stop_proxy,197.0,15.379999999999654,False,initial training period (in-sample parameters)
36274877,0,2025-10-01 09:25:14,2025-10-01 09:29:01,Buy,3858.64,3860.65,2.01,fixed_barriers,2025-10-01 09:42:00,3862.5099999999998,target_proxy,779.0,1.8599999999996726,True,initial training period (in-sample parameters)
36283671,0,2025-10-01 11:28:02,2025-10-01 11:34:32,Sell,3893.34,3887.09,6.25,fixed_barriers,2025-10-01 11:31:00,3889.4700000000003,target_proxy,212.0,2.380000000000109,True,initial training period (in-sample parameters)
36322976,0,2025-10-02 08:13:35,2025-10-02 09:05:06,Buy,3868.72,3869.93,1.21,fixed_barriers,2025-10-02 08:36:00,3866.25,stop_proxy,1746.0,3.6799999999998363,False,initial training period (in-sample parameters)
36334931,0,2025-10-02 15:17:55,2025-10-02 15:20:28,Buy,3881.12,3882.5499999999997,1.43,fixed_barriers,2025-10-02 15:35:00,3884.99,target_proxy,872.0,2.4400000000000546,True,initial training period (in-sample parameters)
36335183,0,2025-10-02 15:23:08,2025-10-02 15:31:38,Buy,3882.36,3883.6800000000003,1.32,fixed_barriers,2025-10-02 15:26:00,3879.8900000000003,stop_proxy,338.0,3.7899999999999636,False,initial training period (in-sample parameters)
36335196,0,2025-10-02 15:23:37,2025-10-02 15:31:34,Buy,3882.34,3883.56,1.22,fixed_barriers,2025-10-02 15:36:00,3886.21,target_proxy,266.0,2.650000000000091,True,initial training period (in-sample parameters)
36337657,0,2025-10-02 16:13:13,2025-10-02 16:16:03,Sell,3890.78,3888.9700000000003,1.81,fixed_barriers,2025-10-02 16:25:00,3893.25,stop_proxy,537.0,4.279999999999745,False,initial training period (in-sample parameters)
36368405,0,2025-10-03 10:17:25,2025-10-03 10:23:08,Buy,3860.35,3861.5499999999997,1.2,fixed_barriers,2025-10-03 10:18:00,3857.88,stop_proxy,308.0,3.669999999999618,False,initial training period (in-sample parameters)
36383087,0,2025-10-03 18:18:08,2025-10-03 18:22:57,Buy,3878.35,3886.15,7.8,fixed_barriers,2025-10-03 18:22:00,3882.22,target_proxy,57.0,3.930000000000291,True,initial training period (in-sample parameters)
36414174,0,2025-10-06 12:14:39,2025-10-06 12:40:39,Sell,3943.07,3940.61,2.46,fixed_barriers,2025-10-06 12:26:00,3939.2000000000003,target_proxy,879.0,1.4099999999998545,True,initial training period (in-sample parameters)
36416362,0,2025-10-06 14:10:55,2025-10-06 14:16:33,Sell,3938.03,3935.01,3.02,fixed_barriers,2025-10-06 14:17:00,3934.1600000000003,target_proxy,27.0,0.849999999999909,True,initial training period (in-sample parameters)
