clock_event,tolerance_seconds,share_after_prior_boundary,share_nearest_boundary,median_seconds_after_prior_boundary,median_seconds_to_nearest_boundary
M5,0,0.0,0.0,138.0,77.0
M5,1,0.004728132387706856,0.014184397163120567,138.0,77.0
M5,2,0.014184397163120567,0.02364066193853428,138.0,77.0
M5,5,0.028368794326241134,0.04491725768321513,138.0,77.0
M5,10,0.04728132387706856,0.07565011820330969,138.0,77.0
M5,15,0.061465721040189124,0.09929078014184398,138.0,77.0
M5,30,0.1016548463356974,0.17494089834515367,138.0,77.0
M5,60,0.23877068557919623,0.3971631205673759,138.0,77.0
M5,120,0.43498817966903075,0.7825059101654847,138.0,77.0
M15,0,0.0,0.0,390.0,212.0
M15,1,0.0,0.0,390.0,212.0
M15,2,0.004728132387706856,0.004728132387706856,390.0,212.0
M15,5,0.01182033096926714,0.018912529550827423,390.0,212.0
M15,10,0.02127659574468085,0.03309692671394799,390.0,212.0
M15,15,0.026004728132387706,0.04018912529550828,390.0,212.0
M15,30,0.04964539007092199,0.07328605200945626,390.0,212.0
M15,60,0.1111111111111111,0.16548463356973994,390.0,212.0
M15,120,0.17494089834515367,0.28132387706855794,390.0,212.0
M30,0,0.0,0.0,764.0,472.0
M30,1,0.0,0.0,764.0,472.0
M30,2,0.004728132387706856,0.004728132387706856,764.0,472.0
M30,5,0.009456264775413711,0.01182033096926714,764.0,472.0
M30,10,0.01182033096926714,0.014184397163120567,764.0,472.0
M30,15,0.016548463356973995,0.018912529550827423,764.0,472.0
M30,30,0.030732860520094562,0.03546099290780142,764.0,472.0
M30,60,0.0851063829787234,0.10401891252955082,764.0,472.0
M30,120,0.1182033096926714,0.15130023640661938,764.0,472.0
H1,0,0.0,0.0,1632.0,961.0
H1,1,0.0,0.0,1632.0,961.0
H1,2,0.002364066193853428,0.002364066193853428,1632.0,961.0
H1,5,0.004728132387706856,0.004728132387706856,1632.0,961.0
H1,10,0.0070921985815602835,0.0070921985815602835,1632.0,961.0
H1,15,0.01182033096926714,0.01182033096926714,1632.0,961.0
H1,30,0.02127659574468085,0.02364066193853428,1632.0,961.0
H1,60,0.04728132387706856,0.054373522458628844,1632.0,961.0
H1,120,0.06619385342789598,0.08274231678486997,1632.0,961.0
