ticket,trade_time,control_time,state_similarity,trade_cooldown_log_seconds,trade_seconds_since_last_entry,trade_trades_today_before,trade_trades_prev_hour,trade_trades_session_before,trade_active_positions_before_candidate,trade_m1_atr_ratio,trade_m1_range,trade_m1_return_5,trade_m1_ema20_dist,trade_m15_price_ema20,trade_h1_price_ema20,control_cooldown_log_seconds,control_seconds_since_last_entry,control_trades_today_before,control_trades_prev_hour,control_trades_session_before,control_active_positions_before_candidate,control_m1_atr_ratio,control_m1_range,control_m1_return_5,control_m1_ema20_dist,control_m15_price_ema20,control_h1_price_ema20
36094988,2025-09-25 19:32:56,2025-09-25 22:32:00,1.3877391077710861,,,0.0,0.0,0.0,0,0.00036478639,1.41,-0.00025077781,-1.5069497,-0.096103758,-0.64638764,9.2093398716426,10094.0,2.0,0.0,2.0,0,0.00030201534,1.74,-0.0003819502,-1.9855429,1.0006672,0.8587929
36095791,2025-09-25 19:43:46,2025-09-25 20:43:00,1.5144085189297742,1.791759469228055,604.0,1.0,1.0,1.0,0,0.00031686213,0.59299999,0.00043823509,0.32651404,-0.096103758,-0.64638764,8.146129510025405,3554.0,2.0,1.0,2.0,0,0.00038184263,0.77999997,0.00028352291,0.20031554,0.21961083,-0.75980884
36148327,2025-09-26 18:47:57,2025-09-26 18:17:00,0.103598621898906,11.325269706585573,82994.0,0.0,0.0,0.0,0,0.0003818,1.22,0.00010326708,-0.024427919,1.6926153,2.3972764,11.303314927938603,81194.0,0.0,0.0,0.0,0,0.00045359563,1.05,0.00029942143,-0.31336641,1.8433098,2.3972764
36168589,2025-09-29 08:46:42,2025-09-29 08:16:00,0.26136762726059487,12.313553910807975,223083.0,0.0,0.0,0.0,0,0.00052851439,2.72,0.00039432198,0.50485486,1.4492718,2.3771293,12.305438227427736,221283.0,0.0,0.0,0.0,0,0.00047172027,1.603,0.000394314,-0.19103947,2.2064927,2.3771293
36168590,2025-09-29 08:46:47,2025-09-29 08:16:00,0.26136762726059487,12.313553910807975,223083.0,0.0,0.0,0.0,0,0.00052851439,2.72,0.00039432198,0.50485486,1.4492718,2.3771293,12.305438227427736,221283.0,0.0,0.0,0.0,0,0.00047172027,1.603,0.000394314,-0.19103947,2.2064927,2.3771293
36227385,2025-09-30 11:20:52,2025-09-30 10:50:00,0.430412189647175,11.463976788238345,95593.0,0.0,0.0,0.0,0,0.0006825591,4.0999999,-0.001416721,-2.3642919,-2.3474572,0.46309131,11.44489284657838,93793.0,0.0,0.0,0.0,0,0.00056209095,2.007,-0.00067242573,-2.1001685,-1.6566085,1.5736338
36227388,2025-09-30 11:20:57,2025-09-30 10:50:00,0.430412189647175,11.463976788238345,95593.0,0.0,0.0,0.0,0,0.0006825591,4.0999999,-0.001416721,-2.3642919,-2.3474572,0.46309131,11.44489284657838,93793.0,0.0,0.0,0.0,0,0.00056209095,2.007,-0.00067242573,-2.1001685,-1.6566085,1.5736338
36228676,2025-09-30 11:25:56,2025-09-30 11:55:00,1.4179823758880334,4.61512051684126,243.0,2.0,2.0,2.0,0,0.00087249908,4.0500002,-0.00068444572,-1.3809772,-2.3474572,0.46309131,7.302496423727326,1744.0,3.0,3.0,3.0,0,0.00085996173,2.2,-0.00078019558,-0.43744719,-3.8529127,0.46309131
36274877,2025-10-01 09:25:14,2025-10-01 07:25:00,0.17551116736951503,11.27573369792996,79144.0,0.0,0.0,0.0,0,0.00036849122,1.74,0.00024636067,-0.6007967,-0.76343513,0.90176421,11.18002284966328,71944.0,0.0,0.0,0.0,0,0.00026999859,1.7,2.5900463e-05,-0.1163531,-0.29791135,0.94109172
36283671,2025-10-01 11:28:02,2025-10-01 10:58:00,0.6151037301021091,8.87346805533363,7366.0,1.0,0.0,1.0,0,0.00048627736,1.02,-0.00025167214,1.6791605,3.3231215,1.8515654,8.582980931954241,5566.0,1.0,0.0,1.0,0,0.00041956501,1.16,-0.00067804736,1.1794269,0.93455899,0.50034046
