trade_ticket,trade_time,trade_direction,control_time,clock_event,state_similarity,state_difference,market_difference,event_difference,candidate_hidden_condition
36094988,2025-09-25 19:32:56,Buy,2025-09-25 22:32:00,M30 phase 2,1.3877391077710861,trades_session_before Δz=3.99; trades_today_before Δz=2.05; h1_price_ema20 Δz=1.08; cooldown_log_seconds Δz=0.93,m1_return_5 Δ=0.000131172; m1_ema20_dist Δ=0.479,"event_any, event_count","event_any, event_count"
36095791,2025-09-25 19:43:46,Sell,2025-09-25 20:43:00,M30 phase 13,1.5144085189297742,cooldown_log_seconds Δz=4.73; trades_session_before Δz=1.99; trades_today_before Δz=1.03; m15_price_ema20 Δz=0.24,m1_return_5 Δ=0.000154712; m1_ema20_dist Δ=0.126,same measured event flags,no isolated measured clock/event condition
36148327,2025-09-26 18:47:57,Buy,2025-09-26 18:17:00,M30 phase 17,0.103598621898906,m1_ema20_dist Δz=0.21; m1_atr_ratio Δz=0.18; m1_return_5 Δz=0.18; m15_price_ema20 Δz=0.11,m1_return_5 Δ=-0.000196154; m1_ema20_dist Δ=0.289,same measured event flags,no isolated measured clock/event condition
36168589,2025-09-29 08:46:42,Buy,2025-09-29 08:16:00,M30 phase 16,0.26136762726059487,m15_price_ema20 Δz=0.57; m1_ema20_dist Δz=0.51; m1_range Δz=0.46; m1_atr_ratio Δz=0.14,m1_return_5 Δ=7.98e-09; m1_ema20_dist Δ=0.696,same measured event flags,no isolated measured clock/event condition
36168590,2025-09-29 08:46:47,Buy,2025-09-29 08:16:00,M30 phase 16,0.26136762726059487,m15_price_ema20 Δz=0.57; m1_ema20_dist Δz=0.51; m1_range Δz=0.46; m1_atr_ratio Δz=0.14,m1_return_5 Δ=7.98e-09; m1_ema20_dist Δ=0.696,same measured event flags,no isolated measured clock/event condition
36227385,2025-09-30 11:20:52,Sell,2025-09-30 10:50:00,M30 phase 20,0.430412189647175,m1_range Δz=0.86; h1_price_ema20 Δz=0.79; m1_return_5 Δz=0.68; m15_price_ema20 Δz=0.52,m1_return_5 Δ=-0.000744295; m1_ema20_dist Δ=-0.264,same measured event flags,no isolated measured clock/event condition
36227388,2025-09-30 11:20:57,Sell,2025-09-30 10:50:00,M30 phase 20,0.430412189647175,m1_range Δz=0.86; h1_price_ema20 Δz=0.79; m1_return_5 Δz=0.68; m15_price_ema20 Δz=0.52,m1_return_5 Δ=-0.000744295; m1_ema20_dist Δ=-0.264,same measured event flags,no isolated measured clock/event condition
36228676,2025-09-30 11:25:56,Sell,2025-09-30 11:55:00,M30 phase 25,1.4179823758880334,trades_prev_hour Δz=3.57; cooldown_log_seconds Δz=2.00; trades_session_before Δz=1.99; m15_price_ema20 Δz=1.13,m1_return_5 Δ=9.57499e-05; m1_ema20_dist Δ=-0.944,"event_any, event_count","event_any, event_count"
36274877,2025-10-01 09:25:14,Buy,2025-10-01 07:25:00,M30 phase 25,0.17551116736951503,m1_ema20_dist Δz=0.36; m15_price_ema20 Δz=0.35; m1_atr_ratio Δz=0.25; m1_return_5 Δz=0.20,m1_return_5 Δ=0.00022046; m1_ema20_dist Δ=-0.484,"event_any, event_count","event_any, event_count"
36283671,2025-10-01 11:28:02,Sell,2025-10-01 10:58:00,M30 phase 28,0.6151037301021091,m15_price_ema20 Δz=1.80; h1_price_ema20 Δz=0.97; m1_return_5 Δz=0.39; m1_ema20_dist Δz=0.37,m1_return_5 Δ=0.000426375; m1_ema20_dist Δ=0.5,same measured event flags,no isolated measured clock/event condition
36322976,2025-10-02 08:13:35,Buy,2025-10-02 07:43:00,M30 phase 13,0.5525182211992087,m1_ema20_dist Δz=1.85; m15_price_ema20 Δz=0.31; m1_range Δz=0.29; m1_atr_ratio Δz=0.18,m1_return_5 Δ=-5.96209e-06; m1_ema20_dist Δ=2.51,same measured event flags,no isolated measured clock/event condition
36334931,2025-10-02 15:17:55,Buy,2025-10-02 13:47:00,M30 phase 17,0.48490390195691097,m1_ema20_dist Δz=1.36; m1_return_5 Δz=0.79; h1_price_ema20 Δz=0.32; m1_range Δz=0.30,m1_return_5 Δ=-0.000868767; m1_ema20_dist Δ=-1.84,"event_any, event_count","event_any, event_count"
36335183,2025-10-02 15:23:08,Buy,2025-10-02 14:53:00,M30 phase 23,1.6484756679405197,cooldown_log_seconds Δz=3.66; trades_prev_hour Δz=3.57; trades_session_before Δz=1.99; trades_today_before Δz=1.03,m1_return_5 Δ=0.000458457; m1_ema20_dist Δ=-1.22,same measured event flags,no isolated measured clock/event condition
36335196,2025-10-02 15:23:37,Buy,2025-10-02 14:53:00,M30 phase 23,1.6484756679405197,cooldown_log_seconds Δz=3.66; trades_prev_hour Δz=3.57; trades_session_before Δz=1.99; trades_today_before Δz=1.03,m1_return_5 Δ=0.000458457; m1_ema20_dist Δ=-1.22,same measured event flags,no isolated measured clock/event condition
36337657,2025-10-02 16:13:13,Sell,2025-10-02 15:43:00,M30 phase 13,1.0959335660514122,m1_ema20_dist Δz=2.88; m1_return_5 Δz=2.06; cooldown_log_seconds Δz=0.96; m1_range Δz=0.94,m1_return_5 Δ=0.00226668; m1_ema20_dist Δ=3.9,event_count,event_count
36368405,2025-10-03 10:17:25,Buy,2025-10-03 09:47:00,M30 phase 17,0.23975154759445097,m1_ema20_dist Δz=0.57; m1_range Δz=0.44; m1_return_5 Δz=0.34; h1_price_ema20 Δz=0.22,m1_return_5 Δ=0.000374845; m1_ema20_dist Δ=0.772,"event_any, event_count","event_any, event_count"
36383087,2025-10-03 18:18:08,Buy,2025-10-03 22:18:00,M30 phase 18,0.7000102987061765,trades_session_before Δz=1.99; trades_today_before Δz=1.03; m1_atr_ratio Δz=0.58; cooldown_log_seconds Δz=0.52,m1_return_5 Δ=0.000314109; m1_ema20_dist Δ=0.314,same measured event flags,no isolated measured clock/event condition
36414174,2025-10-06 12:14:39,Sell,2025-10-06 10:44:00,M30 phase 14,0.19517921388658227,m1_atr_ratio Δz=0.41; m15_price_ema20 Δz=0.36; m1_return_5 Δz=0.30; m1_range Δz=0.25,m1_return_5 Δ=0.000330529; m1_ema20_dist Δ=0.0221,same measured event flags,no isolated measured clock/event condition
36416362,2025-10-06 14:10:55,Sell,2025-10-06 13:40:00,M30 phase 10,0.8386566744265747,m1_ema20_dist Δz=2.69; m1_return_5 Δz=1.02; cooldown_log_seconds Δz=0.30; h1_price_ema20 Δz=0.18,m1_return_5 Δ=-0.00112163; m1_ema20_dist Δ=-3.65,"event_any, event_count","event_any, event_count"
36450406,2025-10-07 08:47:44,Sell,2025-10-07 08:17:00,M30 phase 17,0.2040058783699944,m1_ema20_dist Δz=0.53; m15_price_ema20 Δz=0.37; m1_atr_ratio Δz=0.24; m1_range Δz=0.15,m1_return_5 Δ=-6.55618e-05; m1_ema20_dist Δ=0.714,"event_any, event_count","event_any, event_count"
36450588,2025-10-07 08:53:49,Sell,2025-10-07 07:53:00,M30 phase 23,2.5317608626562613,active_positions_before_candidate Δz=7.45; trades_prev_hour Δz=3.57; trades_session_before Δz=1.99; m15_price_ema20 Δz=1.54,m1_return_5 Δ=0.000481336; m1_ema20_dist Δ=-0.381,"event_any, event_count","event_any, event_count"
36451248,2025-10-07 09:17:36,Buy,2025-10-07 09:47:00,M30 phase 17,1.2479165162897659,trades_prev_hour Δz=3.57; trades_session_before Δz=1.99; trades_today_before Δz=1.03; m15_price_ema20 Δz=0.62,m1_return_5 Δ=-0.000206457; m1_ema20_dist Δ=0.235,same measured event flags,no isolated measured clock/event condition
36508294,2025-10-08 12:19:47,Sell,2025-10-08 10:49:00,M30 phase 19,0.309850339531171,m1_ema20_dist Δz=0.84; m15_price_ema20 Δz=0.61; m1_atr_ratio Δz=0.17; m1_return_5 Δz=0.15,m1_return_5 Δ=-0.000168469; m1_ema20_dist Δ=-1.13,event_count,event_count
36508676,2025-10-08 12:36:16,Buy,2025-10-08 10:06:00,M30 phase 6,1.8619958749177763,cooldown_log_seconds Δz=4.60; trades_prev_hour Δz=3.57; trades_session_before Δz=1.99; seconds_since_last_entry Δz=1.26,m1_return_5 Δ=-0.000213444; m1_ema20_dist Δ=-0.605,same measured event flags,no isolated measured clock/event condition
36508993,2025-10-08 12:42:32,Buy,2025-10-08 09:42:00,M30 phase 12,2.8485224688888255,trades_prev_hour Δz=7.14; cooldown_log_seconds Δz=4.88; trades_session_before Δz=3.99; trades_today_before Δz=2.05,m1_return_5 Δ=0.00044783; m1_ema20_dist Δ=0.509,event_count,event_count
36561296,2025-10-09 14:04:35,Sell,2025-10-09 13:04:00,M30 phase 4,0.4832995135475074,m1_ema20_dist Δz=1.14; m1_return_5 Δz=0.81; m15_price_ema20 Δz=0.77; m1_range Δz=0.40,m1_return_5 Δ=-0.000890916; m1_ema20_dist Δ=-1.55,"event_any, event_count","event_any, event_count"
36562289,2025-10-09 14:19:30,Buy,2025-10-09 15:19:00,M30 phase 19,1.7535135497775325,trades_session_before Δz=3.99; trades_prev_hour Δz=3.57; trades_today_before Δz=2.05; m1_ema20_dist Δz=1.32,m1_return_5 Δ=-0.000921759; m1_ema20_dist Δ=-1.79,"event_any, event_count","event_any, event_count"
36562770,2025-10-09 14:42:13,Buy,2025-10-09 15:12:00,M30 phase 12,1.0074146612070582,m1_ema20_dist Δz=2.23; trades_session_before Δz=1.99; trades_today_before Δz=1.03; m15_price_ema20 Δz=0.98,m1_return_5 Δ=0.000757128; m1_ema20_dist Δ=3.03,same measured event flags,no isolated measured clock/event condition
36640713,2025-10-10 19:29:10,Buy,2025-10-10 18:59:00,M30 phase 29,0.49410843376416413,m15_price_ema20 Δz=1.13; m1_ema20_dist Δz=0.85; m1_return_5 Δz=0.64; m1_range Δz=0.62,m1_return_5 Δ=0.000708704; m1_ema20_dist Δ=1.15,"event_any, event_count","event_any, event_count"
36682106,2025-10-13 15:38:45,Sell,2025-10-13 13:08:00,M30 phase 8,0.352546003372088,m1_return_5 Δz=1.00; m1_atr_ratio Δz=0.37; h1_price_ema20 Δz=0.34; m1_ema20_dist Δz=0.33,m1_return_5 Δ=-0.00110221; m1_ema20_dist Δ=-0.443,same measured event flags,no isolated measured clock/event condition
36725889,2025-10-14 10:42:54,Sell,2025-10-14 10:12:00,M30 phase 12,0.3458390600281198,m15_price_ema20 Δz=0.71; m1_ema20_dist Δz=0.63; m1_return_5 Δz=0.59; m1_range Δz=0.43,m1_return_5 Δ=0.000647874; m1_ema20_dist Δ=0.852,"event_any, event_count","event_any, event_count"
36726171,2025-10-14 10:52:46,Sell,2025-10-14 11:52:00,M30 phase 22,0.8337517768833785,trades_session_before Δz=1.99; cooldown_log_seconds Δz=1.55; trades_today_before Δz=1.03; m15_price_ema20 Δz=0.55,m1_return_5 Δ=-0.000590082; m1_ema20_dist Δ=0.299,event_count,event_count
36768836,2025-10-15 09:35:08,Buy,2025-10-15 09:05:00,M30 phase 5,0.15869022394799862,m1_return_5 Δz=0.47; m15_price_ema20 Δz=0.23; m1_atr_ratio Δz=0.16; m1_ema20_dist Δz=0.05,m1_return_5 Δ=-0.000515119; m1_ema20_dist Δ=0.0737,same measured event flags,no isolated measured clock/event condition
36829765,2025-10-16 13:15:47,Sell,2025-10-16 16:45:00,M30 phase 15,2.053051491224625,trades_session_before Δz=5.98; trades_today_before Δz=3.08; cooldown_log_seconds Δz=1.65; seconds_since_last_entry Δz=1.25,m1_return_5 Δ=-0.000479657; m1_ema20_dist Δ=-0.533,"event_any, event_count","event_any, event_count"
36829878,2025-10-16 13:23:12,Buy,2025-10-16 14:23:00,M30 phase 23,1.7329085400058553,trades_session_before Δz=3.99; trades_prev_hour Δz=3.57; trades_today_before Δz=2.05; cooldown_log_seconds Δz=1.69,m1_return_5 Δ=-0.000278131; m1_ema20_dist Δ=-0.496,same measured event flags,no isolated measured clock/event condition
36829995,2025-10-16 13:29:09,Buy,2025-10-16 14:29:00,M30 phase 29,1.3576841922896756,trades_prev_hour Δz=3.57; cooldown_log_seconds Δz=2.03; trades_session_before Δz=1.99; trades_today_before Δz=1.03,m1_return_5 Δ=0.000354648; m1_ema20_dist Δ=0.165,"event_any, event_count","event_any, event_count"
36893509,2025-10-17 13:15:10,Buy,2025-10-17 14:45:00,M30 phase 15,1.3549788418499233,m1_return_5 Δz=2.27; cooldown_log_seconds Δz=2.14; trades_session_before Δz=1.99; m1_atr_ratio Δz=1.63,m1_return_5 Δ=0.00250452; m1_ema20_dist Δ=0.876,event_count,event_count
36902372,2025-10-17 15:37:18,Sell,2025-10-17 15:07:00,M30 phase 7,0.5451097779384189,m1_return_5 Δz=1.30; m1_ema20_dist Δz=0.82; m15_price_ema20 Δz=0.70; m1_range Δz=0.70,m1_return_5 Δ=-0.00142602; m1_ema20_dist Δ=1.11,"event_any, event_count","event_any, event_count"
36954767,2025-10-20 11:47:26,Sell,2025-10-20 08:17:00,M30 phase 17,0.1566943565265693,m1_return_5 Δz=0.34; m1_ema20_dist Δz=0.29; seconds_since_last_entry Δz=0.18; m1_range Δz=0.16,m1_return_5 Δ=-0.000370163; m1_ema20_dist Δ=-0.398,same measured event flags,no isolated measured clock/event condition
36997575,2025-10-21 10:23:43,Buy,2025-10-21 07:23:00,M30 phase 23,0.24979264503334286,m1_atr_ratio Δz=0.66; m1_range Δz=0.46; m1_return_5 Δz=0.22; seconds_since_last_entry Δz=0.15,m1_return_5 Δ=-0.000241419; m1_ema20_dist Δ=0.0179,same measured event flags,no isolated measured clock/event condition
36998918,2025-10-21 10:42:21,Buy,2025-10-21 11:42:00,M30 phase 12,0.978146872962549,trades_session_before Δz=1.99; m15_price_ema20 Δz=1.48; m1_ema20_dist Δz=1.20; h1_price_ema20 Δz=1.19,m1_return_5 Δ=0.000299051; m1_ema20_dist Δ=-1.63,"event_any, event_count","event_any, event_count"
37005647,2025-10-21 13:56:35,Sell,2025-10-21 13:26:00,M30 phase 26,0.8594973481870953,m1_return_5 Δz=2.18; m1_ema20_dist Δz=1.43; m1_range Δz=1.30; m1_atr_ratio Δz=0.54,m1_return_5 Δ=-0.00239641; m1_ema20_dist Δ=-1.94,same measured event flags,no isolated measured clock/event condition
