candidate,family,fold,validation_start,validation_end,train_observations,validation_observations,feature_count,signals,signals_per_10000,trades_captured,false_alarms,precision,recall,f1,pr_auc,roc_auc
l1_logistic,CLOCK+MARKET+STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,64,3,0.8653263722634054,0,3,0.0,0.0,0.0,0.004565875957032778,0.7253814024199841
l1_logistic,CLOCK+MARKET+STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,64,2,0.5768842481756036,0,2,0.0,0.0,0.0,0.0034916580920538853,0.7270877359056578
l1_logistic,CLOCK+MARKET+STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,64,45,12.97989558395108,0,45,0.0,0.0,0.0,0.002543551155034839,0.7115212312589855
l1_logistic,CLOCK+MARKET+STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,64,35,10.095474343073063,1,34,0.02857142857142857,0.024390243902439025,0.02631578947368421,0.005476406215927923,0.7092984107038715
l1_logistic,CLOCK+MARKET+STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,64,4,1.1537684963512072,0,4,0.0,0.0,0.0,0.00277796711681453,0.6998745106853215
elastic_net,CLOCK+MARKET+STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,64,20,5.768842481756036,0,20,0.0,0.0,0.0,0.006183269079278314,0.7436403412697599
elastic_net,CLOCK+MARKET+STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,64,6,1.7306527445268107,0,6,0.0,0.0,0.0,0.0044188344357450875,0.7481367536181646
elastic_net,CLOCK+MARKET+STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,64,53,15.287432576653496,0,53,0.0,0.0,0.0,0.00301266023098894,0.741020358389813
elastic_net,CLOCK+MARKET+STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,64,36,10.383916467160864,1,35,0.027777777777777776,0.024390243902439025,0.025974025974025976,0.007588164300712557,0.7276065893383895
elastic_net,CLOCK+MARKET+STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,64,4,1.1537684963512072,0,4,0.0,0.0,0.0,0.0032426488607521513,0.7162388479956048
shallow_tree,CLOCK+MARKET+STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,64,447,128.9336294672474,1,446,0.0022371364653243847,0.016129032258064516,0.003929273084479371,0.0033369100265227664,0.7081249644627182
shallow_tree,CLOCK+MARKET+STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,64,10888,3140.5578470679857,32,10856,0.0029390154298310064,0.6153846153846154,0.005850091407678245,0.002759439318334138,0.7197883543212428
shallow_tree,CLOCK+MARKET+STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,64,11187,3226.8020421702386,27,11160,0.002413515687851971,0.6,0.004807692307692308,0.0022457156290956806,0.6972257522078456
shallow_tree,CLOCK+MARKET+STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,64,1099,316.99789437249416,4,1095,0.003639672429481347,0.0975609756097561,0.007017543859649123,0.0034522389268172634,0.7677147634650656
shallow_tree,CLOCK+MARKET+STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,64,969,279.5004182410799,12,957,0.01238390092879257,0.32432432432432434,0.02385685884691849,0.005045019040774196,0.692064595780812
restricted_gradient_boosting,CLOCK+MARKET+STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,64,21,6.057284605843837,0,21,0.0,0.0,0.0,0.004912503140364018,0.7352628640299324
restricted_gradient_boosting,CLOCK+MARKET+STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,64,30,8.653263722634053,0,30,0.0,0.0,0.0,0.00571926240426353,0.7381083327222506
restricted_gradient_boosting,CLOCK+MARKET+STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,64,40,11.537684963512072,0,40,0.0,0.0,0.0,0.004224995441985166,0.7697322987266378
restricted_gradient_boosting,CLOCK+MARKET+STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,64,21,6.057284605843837,0,21,0.0,0.0,0.0,0.004710959208809359,0.7437393819184812
restricted_gradient_boosting,CLOCK+MARKET+STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,64,11,3.1728633649658198,0,11,0.0,0.0,0.0,0.006171347657802723,0.7435788179031422
restricted_random_forest,CLOCK+MARKET+STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,64,5,1.442210620439009,0,5,0.0,0.0,0.0,0.004549313755839556,0.7187066852967468
restricted_random_forest,CLOCK+MARKET+STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,64,33,9.518590094897458,0,33,0.0,0.0,0.0,0.005618105005234322,0.7140089018068045
restricted_random_forest,CLOCK+MARKET+STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,64,21,6.057284605843837,0,21,0.0,0.0,0.0,0.004654681599616656,0.7506559355103717
restricted_random_forest,CLOCK+MARKET+STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,64,29,8.364821598546252,0,29,0.0,0.0,0.0,0.0035357153980232763,0.7335203148727802
restricted_random_forest,CLOCK+MARKET+STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,64,21,6.057284605843837,1,20,0.047619047619047616,0.02702702702702703,0.034482758620689655,0.014632696751744693,0.7788461538461539
l1_logistic,A_CLOCK,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,14,50,14.42210620439009,0,50,0.0,0.0,0.0,0.003052576455047894,0.7019507986916689
l1_logistic,A_CLOCK,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,14,50,14.42210620439009,0,50,0.0,0.0,0.0,0.002516157533126298,0.7016636445854749
l1_logistic,A_CLOCK,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,14,52,14.998990452565693,0,52,0.0,0.0,0.0,0.0019353296413184692,0.6600373536660505
l1_logistic,A_CLOCK,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,14,52,14.998990452565693,0,52,0.0,0.0,0.0,0.0018223359101912752,0.6568310009945427
l1_logistic,A_CLOCK,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,14,50,14.42210620439009,0,50,0.0,0.0,0.0,0.0017775971850944225,0.6539398025884513
l1_logistic,B_GEOMETRY,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,10,34669,10000.0,62,34607,0.0017883411693443711,1.0,0.0035702974288099967,0.0017883411693443711,0.5
l1_logistic,B_GEOMETRY,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,10,34669,10000.0,52,34617,0.0014998990452565692,1.0,0.0029953054347513033,0.0014998990452565692,0.5
l1_logistic,B_GEOMETRY,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,10,34669,10000.0,45,34624,0.001297989558395108,1.0,0.0025926139309788558,0.001297989558395108,0.5
l1_logistic,B_GEOMETRY,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,10,34669,10000.0,41,34628,0.0011826127087599873,1.0,0.002362431575914722,0.0011826127087599873,0.5
l1_logistic,B_GEOMETRY,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,10,34669,10000.0,37,34632,0.0010672358591248667,1.0,0.0021321961620469083,0.0010672358591248667,0.5
l1_logistic,C_MOMENTUM,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,12,34669,10000.0,62,34607,0.0017883411693443711,1.0,0.0035702974288099967,0.0017883411693443711,0.5
l1_logistic,C_MOMENTUM,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,12,34669,10000.0,52,34617,0.0014998990452565692,1.0,0.0029953054347513033,0.0014998990452565692,0.5
l1_logistic,C_MOMENTUM,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,12,34669,10000.0,45,34624,0.001297989558395108,1.0,0.0025926139309788558,0.001297989558395108,0.5
l1_logistic,C_MOMENTUM,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,12,34669,10000.0,41,34628,0.0011826127087599873,1.0,0.002362431575914722,0.0011826127087599873,0.5
l1_logistic,C_MOMENTUM,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,12,34669,10000.0,37,34632,0.0010672358591248667,1.0,0.0021321961620469083,0.0010672358591248667,0.5
l1_logistic,D_VOLATILITY,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,5,34669,10000.0,62,34607,0.0017883411693443711,1.0,0.0035702974288099967,0.0017883411693443711,0.5
l1_logistic,D_VOLATILITY,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,5,34669,10000.0,52,34617,0.0014998990452565692,1.0,0.0029953054347513033,0.0014998990452565692,0.5
l1_logistic,D_VOLATILITY,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,5,0,0.0,0,0,0.0,0.0,0.0,0.0012224120638724308,0.4858832665845143
l1_logistic,D_VOLATILITY,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,5,34669,10000.0,41,34628,0.0011826127087599873,1.0,0.002362431575914722,0.0011826127087599873,0.5
l1_logistic,D_VOLATILITY,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,5,34669,10000.0,37,34632,0.0010672358591248667,1.0,0.0021321961620469083,0.0010672358591248667,0.5
l1_logistic,E_TREND_LOCATION,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,7,34669,10000.0,62,34607,0.0017883411693443711,1.0,0.0035702974288099967,0.0017883411693443711,0.5
l1_logistic,E_TREND_LOCATION,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,7,34669,10000.0,52,34617,0.0014998990452565692,1.0,0.0029953054347513033,0.0014998990452565692,0.5
l1_logistic,E_TREND_LOCATION,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,7,34669,10000.0,45,34624,0.001297989558395108,1.0,0.0025926139309788558,0.001297989558395108,0.5
l1_logistic,E_TREND_LOCATION,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,7,34669,10000.0,41,34628,0.0011826127087599873,1.0,0.002362431575914722,0.0011826127087599873,0.5
l1_logistic,E_TREND_LOCATION,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,7,34669,10000.0,37,34632,0.0010672358591248667,1.0,0.0021321961620469083,0.0010672358591248667,0.5
l1_logistic,F_ACCOUNT_STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,16,7,2.0190948686146126,0,7,0.0,0.0,0.0,0.003872108127725028,0.6003735958695658
