multiplier_C,contract_unit,median_implied_exit_error,mean_implied_exit_error,p95_implied_exit_error,reconstructed_total_pnl,pnl_delta_vs_1451,median_pnl_residual,verdict
100,100 oz/lot,0.875,2.642,11.249,1572.86,121.64,0.916,OPTIMAL_STANDARD
97,97 oz/lot (fine grid),0.822,2.63,11.226,1525.67,74.45,0.845,LOCAL_MINIMUM
95,95 oz/lot (fine grid),0.847,2.632,11.246,1494.21,42.99,0.822,LOCAL_MINIMUM
90,90 oz/lot (fine grid),0.935,2.674,11.298,1415.57,-35.65,0.867,REJECTED
105,105 oz/lot (fine grid),0.963,2.688,11.258,1651.5,200.28,1.021,REJECTED
110,110 oz/lot (fine grid),1.039,2.752,11.154,1730.14,278.92,1.182,REJECTED
125,125 oz/lot (fine grid),1.359,3.005,10.946,1966.07,514.85,1.721,REJECTED
75,75 oz/lot (fine grid),1.428,3.117,11.182,1179.64,-271.58,1.131,REJECTED
200,200 oz/lot (fine grid),2.41,3.901,10.28,3145.71,1694.49,5.12,REJECTED
500,500 oz/lot,3.525,4.91,10.699,7864.28,6413.06,17.935,REJECTED
50,50 oz/lot,3.695,5.348,13.052,786.43,-664.79,1.943,REJECTED
1000,1000 oz/lot,3.869,5.258,11.044,15728.56,14277.34,39.76,REJECTED
10,10 oz/lot,33.225,35.817,73.689,157.29,-1293.93,3.425,REJECTED
1,1 oz/lot,366.342,387.865,806.12,15.73,-1435.49,3.777,REJECTED
