trade_idx,ticket,side,volume,recorded_pnl,reconstructed_gross_pnl,reconstructed_net_pnl_spread,residual_vs_recorded,cumulative_recorded_pnl,cumulative_reconstructed_pnl
1,00983845,Buy,0.01,8.26,10.42,10.07,-1.81,8.26,10.07
2,100829495,Sell,0.01,6.53,6.8,6.45,0.08,14.79,16.52
3,100675478,Sell,0.01,-1.44,-0.22,-0.57,-0.87,13.35,15.95
4,100653865,Buy,0.01,5.2,5.47,5.12,0.08,18.55,21.07
5,100453335,Buy,0.01,6.74,9.26,8.91,-2.17,25.29,29.98
6,100126875,Sell,0.01,5.8,6.88,6.53,-0.73,31.09,36.51
7,99754992,Buy,0.01,6.64,8.03,7.68,-1.04,37.73,44.19
8,99738973,Buy,0.01,-4.97,-4.44,-4.8,-0.17,32.76,39.39
9,99615317,Sell,0.01,5.71,8.55,8.2,-2.49,38.47,47.59
10,99208828,Buy,0.01,7.78,8.63,8.28,-0.5,46.25,55.87
11,99000862,Sell,0.01,4.28,4.72,4.37,-0.09,50.53,60.24
12,98440487,Buy,0.01,4.39,6.29,5.94,-1.55,54.92,66.18
13,98366050,Sell,0.01,17.67,11.31,10.96,6.71,72.59,77.14
14,98188192,Sell,0.01,7.19,6.65,6.3,0.89,79.78,83.44
15,98161217,Sell,0.01,-3.75,-0.81,-1.16,-2.59,76.03,82.28
16,98070555,Buy,0.01,2.5,3.31,2.96,-0.46,78.53,85.24
17,97982386,Buy,0.01,1.28,2.02,1.67,-0.39,79.81,86.91
18,97800092,Sell,0.01,1.9,2.97,2.62,-0.72,81.71,89.53
19,97638884,Sell,0.01,5.49,5.32,4.97,0.52,87.2,94.5
20,97451919,Buy,0.02,5.5,7.22,6.52,-1.02,92.7,101.02
21,97352852,Sell,0.02,5.32,10.42,9.72,-4.4,98.02,110.74
22,97182841,Buy,0.02,5.06,11.28,10.58,-5.52,103.08,121.32
23,97143853,Buy,0.01,-1.09,2.15,1.8,-2.89,101.99,123.12
24,97042659,Buy,0.01,5.93,7.53,7.18,-1.25,107.92,130.3
25,96882975,Buy,0.01,6.72,6.09,5.74,0.98,114.64,136.04
26,96756936,Buy,0.01,1.02,0.41,0.06,0.96,115.66,136.1
27,96653069,Sell,0.01,4.65,6.48,6.13,-1.48,120.31,142.23
28,96566692,Sell,0.02,8.0,10.28,9.58,-1.58,128.31,151.81
29,96484066,Sell,0.01,6.92,10.84,10.49,-3.57,135.23,162.3
30,96391293,Sell,0.01,2.43,3.17,2.82,-0.39,137.66,165.12
31,96332229,Buy,0.01,6.7,6.12,5.77,0.93,144.36,170.89
32,96325914,Sell,0.01,6.04,6.02,5.67,0.37,150.4,176.56
33,96202433,Buy,0.01,2.24,1.71,1.36,0.88,152.64,177.92
34,96113042,Sell,0.01,3.54,3.63,3.28,0.26,156.18,181.2
35,96024216,Sell,0.01,6.7,6.23,5.88,0.82,162.88,187.08
36,96004348,Sell,0.01,-3.58,-2.7,-3.05,-0.53,159.3,184.03
