timezone_mode,description,median_open_error,p95_open_error,median_close_error,p95_close_error,median_total_error,open_in_bar_pct,close_in_bar_pct,both_in_bar_pct,h_exit_median_error,verdict
dst_eet,DST-Aware EEST/EET (UTC+3/UTC+2),0.965,8.305,0.875,11.249,1.944,85.34,74.23,69.03,4.265,OPTIMAL
fixed_3,Fixed UTC+3h,1.235,16.045,1.142,13.71,2.61,69.03,62.41,55.79,4.135,VIABLE
fixed_2,Fixed UTC+2h,4.715,29.475,4.765,29.44,9.09,33.33,30.26,24.59,6.495,VIABLE
fixed_2.5,Fixed UTC+2.5h,5.305,22.105,5.235,22.921,10.2,11.35,16.08,2.13,5.695,REJECTED
fixed_3.5,Fixed UTC+3.5h,5.455,27.889,4.915,25.05,10.44,14.66,15.13,4.49,4.525,REJECTED
fixed_4,Fixed UTC+4h,6.855,33.122,6.995,34.09,13.21,10.17,12.53,2.36,6.135,REJECTED
fixed_1,Fixed UTC+1h,8.915,36.568,9.815,41.628,18.12,8.98,7.33,1.89,10.295,REJECTED
fixed_5,Fixed UTC+5h,10.205,40.734,10.015,40.935,20.36,7.33,6.15,1.18,9.415,REJECTED
fixed_5.5,Fixed UTC+5.5h,10.975,51.204,10.005,51.663,21.23,8.27,7.57,1.65,10.725,REJECTED
fixed_0,Fixed UTC+0h,12.285,49.772,12.085,53.533,22.96,5.44,5.91,0.95,11.745,REJECTED
fixed_6,Fixed UTC+6h,13.245,52.403,12.175,52.446,25.2,6.38,4.73,1.18,11.495,REJECTED
fixed_-1,Fixed UTC-1h,13.045,57.813,14.235,62.071,28.15,6.15,4.26,1.18,14.585,REJECTED
fixed_7,Fixed UTC+7h,15.235,59.253,15.045,57.523,29.74,5.91,5.91,2.13,13.805,REJECTED
fixed_-2,Fixed UTC-2h,16.605,64.04,17.455,66.774,34.19,5.91,5.2,1.18,17.685,REJECTED
fixed_8,Fixed UTC+8h,17.715,70.767,18.975,72.874,36.77,2.6,4.49,1.42,18.405,REJECTED
fixed_-3,Fixed UTC-3h,18.945,71.707,17.945,75.193,36.85,4.96,4.49,0.95,17.575,REJECTED
fixed_-4,Fixed UTC-4h,18.575,83.347,19.615,74.672,37.623,2.6,3.78,0.47,19.915,REJECTED
dst_us_eastern,dst_us_eastern,19.395,83.347,21.025,78.701,39.97,3.31,3.55,0.47,20.085,REJECTED
fixed_9,Fixed UTC+9h,19.545,79.969,19.575,79.405,40.23,3.31,3.55,0.24,18.965,REJECTED
fixed_10,Fixed UTC+10h,20.305,85.138,20.415,86.517,41.85,4.49,2.36,0.47,19.905,REJECTED
fixed_-5,Fixed UTC-5h,22.165,86.175,22.995,89.262,43.13,4.73,3.31,0.24,23.345,REJECTED
fixed_11,Fixed UTC+11h,22.815,84.28,22.685,86.423,44.53,3.07,4.26,1.18,22.205,REJECTED
fixed_13,Fixed UTC+13h,22.915,94.97,24.045,96.573,47.45,3.78,3.78,1.18,22.585,REJECTED
fixed_12,Fixed UTC+12h,23.695,87.563,24.915,88.718,48.63,3.31,2.84,0.0,24.485,REJECTED
fixed_-6,Fixed UTC-6h,25.095,89.153,25.585,92.859,49.77,3.07,2.6,0.47,25.575,REJECTED
fixed_-7,Fixed UTC-7h,25.735,100.546,26.235,101.956,50.445,1.65,3.31,0.24,26.465,REJECTED
fixed_14,Fixed UTC+14h,26.595,95.443,25.275,95.233,50.74,2.6,3.31,0.71,24.265,REJECTED
fixed_-8,Fixed UTC-8h,27.205,106.959,27.865,108.999,54.58,2.13,2.13,0.47,27.835,REJECTED
fixed_-9,Fixed UTC-9h,29.125,114.595,29.695,115.752,58.92,2.84,3.07,0.24,28.865,REJECTED
fixed_-11,Fixed UTC-11h,29.425,124.084,29.995,121.649,60.76,3.55,4.02,1.65,30.482,REJECTED
fixed_-10,Fixed UTC-10h,30.365,124.924,30.585,123.425,62.38,1.18,2.13,0.0,30.395,REJECTED
fixed_-12,Fixed UTC-12h,31.735,125.512,31.605,128.771,63.46,1.65,2.13,0.47,31.672,REJECTED
