trade_idx,ticket,side,volume,recorded_pnl,reconstructed_pnl_spread,reconstructed_pnl_zero_spread,residual_spread,residual_zero_spread,abs_residual,cum_recorded_pnl,cum_reconstructed_pnl_spread,cum_reconstructed_pnl_zero_spread
1,00983845,Buy,0.01,8.26,8.22,8.57,0.04,-0.31,0.04,8.26,8.22,8.57
2,100829495,Sell,0.01,6.53,5.99,6.34,0.54,0.19,0.54,14.79,14.21,14.91
3,100675478,Sell,0.01,-1.44,-1.19,-0.84,-0.25,-0.6,0.25,13.35,13.02,14.07
4,100653865,Buy,0.01,5.2,5.78,6.13,-0.58,-0.93,0.58,18.55,18.8,20.2
5,100453335,Buy,0.01,6.74,7.32,7.67,-0.58,-0.93,0.58,25.29,26.12,27.87
6,100126875,Sell,0.01,5.8,7.02,7.37,-1.22,-1.57,1.22,31.09,33.14,35.24
7,99754992,Buy,0.01,6.64,6.76,7.11,-0.12,-0.47,0.12,37.73,39.9,42.35
8,99738973,Buy,0.01,-4.97,-5.53,-5.18,0.56,0.21,0.56,32.76,34.37,37.17
9,99615317,Sell,0.01,5.71,5.99,6.34,-0.28,-0.63,0.28,38.47,40.36,43.51
10,99208828,Buy,0.01,7.78,7.97,8.32,-0.19,-0.54,0.19,46.25,48.33,51.83
11,99000862,Sell,0.01,4.28,5.42,5.77,-1.14,-1.49,1.14,50.53,53.75,57.6
12,98440487,Buy,0.01,4.39,6.29,6.64,-1.9,-2.25,1.9,54.92,60.04,64.24
13,98366050,Sell,0.01,17.67,21.52,21.87,-3.85,-4.2,3.85,72.59,81.56,86.11
14,98188192,Sell,0.01,7.19,11.45,11.8,-4.26,-4.61,4.26,79.78,93.01,97.91
15,98161217,Sell,0.01,-3.75,-4.02,-3.67,0.27,-0.08,0.27,76.03,88.99,94.24
16,98070555,Buy,0.01,2.5,2.93,3.28,-0.43,-0.78,0.43,78.53,91.92,97.52
17,97982386,Buy,0.01,1.28,1.85,2.2,-0.57,-0.92,0.57,79.81,93.77,99.72
18,97800092,Sell,0.01,1.9,1.85,2.2,0.05,-0.3,0.05,81.71,95.62,101.92
19,97638884,Sell,0.01,5.49,6.51,6.86,-1.02,-1.37,1.02,87.2,102.13,108.78
20,97451919,Buy,0.02,5.5,5.78,6.48,-0.28,-0.98,0.28,92.7,107.91,115.26
21,97352852,Sell,0.02,5.32,5.7,6.4,-0.38,-1.08,0.38,98.02,113.61,121.66
22,97182841,Buy,0.02,5.06,4.26,4.96,0.8,0.1,0.8,103.08,117.87,126.62
23,97143853,Buy,0.01,-1.09,-2.2,-1.85,1.11,0.76,1.11,101.99,115.67,124.77
24,97042659,Buy,0.01,5.93,7.77,8.12,-1.84,-2.19,1.84,107.92,123.44,132.89
25,96882975,Buy,0.01,6.72,6.18,6.53,0.54,0.19,0.54,114.64,129.62,139.42
26,96756936,Buy,0.01,1.02,2.05,2.4,-1.03,-1.38,1.03,115.66,131.67,141.82
27,96653069,Sell,0.01,4.65,4.17,4.52,0.48,0.13,0.48,120.31,135.84,146.34
28,96566692,Sell,0.02,8.0,8.74,9.44,-0.74,-1.44,0.74,128.31,144.58,155.78
29,96484066,Sell,0.01,6.92,10.35,10.7,-3.43,-3.78,3.43,135.23,154.93,166.48
30,96391293,Sell,0.01,2.43,3.25,3.6,-0.82,-1.17,0.82,137.66,158.18,170.08
31,96332229,Buy,0.01,6.7,9.07,9.42,-2.37,-2.72,2.37,144.36,167.25,179.5
32,96325914,Sell,0.01,6.04,5.67,6.02,0.37,0.02,0.37,150.4,172.92,185.52
33,96202433,Buy,0.01,2.24,3.28,3.63,-1.04,-1.39,1.04,152.64,176.2,189.15
34,96113042,Sell,0.01,3.54,4.86,5.21,-1.32,-1.67,1.32,156.18,181.06,194.36
35,96024216,Sell,0.01,6.7,8.46,8.81,-1.76,-2.11,1.76,162.88,189.52,203.17
36,96004348,Sell,0.01,-3.58,-2.85,-2.5,-0.73,-1.08,0.73,159.3,186.67,200.67
37,95918631,Buy,0.01,7.46,8.41,8.76,-0.95,-1.3,0.95,166.76,195.08,209.43
38,95800620,Buy,0.01,4.74,6.8,7.15,-2.06,-2.41,2.06,171.5,201.88,216.58
39,95773198,Buy,0.01,5.6,5.73,6.08,-0.13,-0.48,0.13,177.1,207.61,222.66
40,95709969,Buy,0.01,1.1,-0.16,0.19,1.26,0.91,1.26,178.2,207.45,222.85
41,95612645,Sell,0.01,3.23,4.42,4.77,-1.19,-1.54,1.19,181.43,211.87,227.62
42,95598021,Buy,0.01,4.04,5.82,6.17,-1.78,-2.13,1.78,185.47,217.69,233.79
43,95576013,Sell,0.01,-4.0,-3.03,-2.68,-0.97,-1.32,0.97,181.47,214.66,231.11
44,95511070,Sell,0.01,2.66,4.73,5.08,-2.07,-2.42,2.07,184.13,219.39,236.19
45,95443868,Sell,0.01,5.5,8.23,8.58,-2.73,-3.08,2.73,189.63,227.62,244.77
46,95369124,Buy,0.01,4.76,5.05,5.4,-0.29,-0.64,0.29,194.39,232.67,250.17
47,95298275,Buy,0.01,5.28,6.52,6.87,-1.24,-1.59,1.24,199.67,239.19,257.04
48,95248660,Buy,0.01,3.87,2.51,2.86,1.36,1.01,1.36,203.54,241.7,259.9
49,95168933,Buy,0.01,2.85,2.82,3.17,0.03,-0.32,0.03,206.39,244.52,263.07
50,95107372,Sell,0.01,4.07,4.94,5.29,-0.87,-1.22,0.87,210.46,249.46,268.36
51,95072289,Buy,0.01,9.29,10.68,11.03,-1.39,-1.74,1.39,219.75,260.14,279.39
52,95047920,Buy,0.01,5.58,6.23,6.58,-0.65,-1.0,0.65,225.33,266.37,285.97
53,94991858,Sell,0.01,3.78,5.44,5.79,-1.66,-2.01,1.66,229.11,271.81,291.76
54,94986774,Sell,0.01,4.29,5.42,5.77,-1.13,-1.48,1.13,233.4,277.23,297.53
55,94942223,Sell,0.01,2.96,3.05,3.4,-0.09,-0.44,0.09,236.36,280.28,300.93
56,94927689,Buy,0.01,-2.1,-1.67,-1.32,-0.43,-0.78,0.43,234.26,278.61,299.61
57,94908427,Buy,0.01,1.14,1.72,2.07,-0.58,-0.93,0.58,235.4,280.33,301.68
58,94864297,Sell,0.01,2.1,2.09,2.44,0.01,-0.34,0.01,237.5,282.42,304.12
59,94842197,Sell,0.01,2.32,2.94,3.29,-0.62,-0.97,0.62,239.82,285.36,307.41
60,94810342,Buy,0.01,4.74,3.27,3.62,1.47,1.12,1.47,244.56,288.63,311.03
61,94775324,Sell,0.01,3.71,3.48,3.83,0.23,-0.12,0.23,248.27,292.11,314.86
62,94754184,Buy,0.01,5.38,6.76,7.11,-1.38,-1.73,1.38,253.65,298.87,321.97
63,94694698,Sell,0.01,5.33,6.5,6.85,-1.17,-1.52,1.17,258.98,305.37,328.82
64,94627775,Sell,0.01,2.64,3.96,4.31,-1.32,-1.67,1.32,261.62,309.33,333.13
65,94588522,Buy,0.01,1.36,2.6,2.95,-1.24,-1.59,1.24,262.98,311.93,336.08
66,94571902,Buy,0.01,7.2,7.12,7.47,0.08,-0.27,0.08,270.18,319.05,343.55
67,94518850,Buy,0.01,7.08,6.1,6.45,0.98,0.63,0.98,277.26,325.15,350.0
68,94517647,Sell,0.01,-1.69,-2.31,-1.96,0.62,0.27,0.62,275.57,322.84,348.04
69,94482317,Sell,0.01,-3.54,-3.98,-3.63,0.44,0.09,0.44,272.03,318.86,344.41
70,94467306,Sell,0.01,8.19,7.39,7.74,0.8,0.45,0.8,280.22,326.25,352.15
71,94425120,Buy,0.01,5.39,6.21,6.56,-0.82,-1.17,0.82,285.61,332.46,358.71
72,94382823,Buy,0.01,6.34,5.63,5.98,0.71,0.36,0.71,291.95,338.09,364.69
73,94375434,Sell,0.01,3.94,3.53,3.88,0.41,0.06,0.41,295.89,341.62,368.57
74,94351863,Sell,0.01,5.72,6.85,7.2,-1.13,-1.48,1.13,301.61,348.47,375.77
75,94339039,Sell,0.01,6.64,7.68,8.03,-1.04,-1.39,1.04,308.25,356.15,383.8
76,94292496,Sell,0.01,3.51,4.07,4.42,-0.56,-0.91,0.56,311.76,360.22,388.22
77,94291110,Sell,0.01,-2.74,-2.74,-2.39,-0.0,-0.35,0.0,309.02,357.48,385.83
78,94289139,Sell,0.01,5.04,7.09,7.44,-2.05,-2.4,2.05,314.06,364.57,393.27
79,94258974,Sell,0.01,5.12,8.41,8.76,-3.29,-3.64,3.29,319.18,372.98,402.03
80,94241160,Sell,0.01,4.8,5.41,5.76,-0.61,-0.96,0.61,323.98,378.39,407.79
81,94240579,Buy,0.01,1.95,0.34,0.69,1.61,1.26,1.61,325.93,378.73,408.48
82,94223505,Buy,0.01,-3.29,-0.83,-0.48,-2.46,-2.81,2.46,322.64,377.9,408.0
83,94199359,Sell,0.01,8.63,4.37,4.72,4.26,3.91,4.26,331.27,382.27,412.72
84,94147775,Buy,0.01,5.19,5.66,6.01,-0.47,-0.82,0.47,336.46,387.93,418.73
85,94116926,Buy,0.01,8.67,9.82,10.17,-1.15,-1.5,1.15,345.13,397.75,428.9
86,94074059,Sell,0.01,4.55,5.99,6.34,-1.44,-1.79,1.44,349.68,403.74,435.24
87,94051620,Buy,0.01,8.77,10.38,10.73,-1.61,-1.96,1.61,358.45,414.12,445.97
88,93990129,Buy,0.01,4.22,5.1,5.45,-0.88,-1.23,0.88,362.67,419.22,451.42
89,93935706,Buy,0.01,2.37,8.29,8.64,-5.92,-6.27,5.92,365.04,427.51,460.06
90,93909211,Buy,0.01,-3.38,-4.63,-4.28,1.25,0.9,1.25,361.66,422.88,455.78
91,93873774,Sell,0.01,4.54,5.47,5.82,-0.93,-1.28,0.93,366.2,428.35,461.6
92,93832434,Buy,0.01,3.98,4.7,5.05,-0.72,-1.07,0.72,370.18,433.05,466.65
93,93798546,Buy,0.01,6.82,8.5,8.85,-1.68,-2.03,1.68,377.0,441.55,475.5
94,93776205,Sell,0.01,5.04,4.08,4.43,0.96,0.61,0.96,382.04,445.63,479.93
95,93757800,Sell,0.01,7.6,8.63,8.98,-1.03,-1.38,1.03,389.64,454.26,488.91
96,93700747,Sell,0.01,6.92,8.37,8.72,-1.45,-1.8,1.45,396.56,462.63,497.63
97,93682742,Buy,0.01,3.27,5.12,5.47,-1.85,-2.2,1.85,399.83,467.75,503.1
98,93681010,Sell,0.01,-1.7,-1.18,-0.83,-0.52,-0.87,0.52,398.13,466.57,502.27
99,93650934,Buy,0.01,10.07,8.1,8.45,1.97,1.62,1.97,408.2,474.67,510.72
100,93631282,Sell,0.01,2.51,-0.05,0.3,2.56,2.21,2.56,410.71,474.62,511.02
101,93609754,Buy,0.01,5.87,5.08,5.43,0.79,0.44,0.79,416.58,479.7,516.45
102,93598278,Sell,0.01,-2.4,-1.97,-1.62,-0.43,-0.78,0.43,414.18,477.73,514.83
103,93557927,Buy,0.01,8.09,10.71,11.06,-2.62,-2.97,2.62,422.27,488.44,525.89
104,93510992,Sell,0.01,1.99,-0.61,-0.26,2.6,2.25,2.6,424.26,487.83,525.63
105,93474519,Sell,0.01,0.01,1.01,1.36,-1.0,-1.35,1.0,424.27,488.84,526.99
106,93461391,Buy,0.01,8.15,9.48,9.83,-1.33,-1.68,1.33,432.42,498.32,536.82
107,93443489,Buy,0.01,2.95,-5.0,-4.65,7.95,7.6,7.95,435.37,493.32,532.17
108,93411173,Sell,0.01,2.26,2.75,3.1,-0.49,-0.84,0.49,437.63,496.07,535.27
109,93404708,Sell,0.01,2.41,2.33,2.68,0.08,-0.27,0.08,440.04,498.4,537.95
110,93377409,Sell,0.01,5.21,4.35,4.7,0.86,0.51,0.86,445.25,502.75,542.65
