model,fold,rule_type,rule_or_feature,coefficient,threshold,oos_f1,oos_precision
E1 completed-bar events,1,L1 logistic feature,event_cross_prior_high_10,-0.9717258882128668,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_cross_prior_low_10,0.05594296109851965,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_cross_prior_high_20,0.29988307947938947,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_cross_prior_low_20,-0.15485750558734412,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_cross_session_high,-0.656911933044339,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_cross_session_low,-0.40872011497882216,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_cross_vwap,-0.09579575487455576,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_cross_ema20,-0.0724645114901309,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_large_body_expansion,0.0809381810351629,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_compression_to_expansion,0.058886063854187785,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_higher_low_break,0.670894119040034,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_false_break_high,-0.01209156301068475,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_false_break_low,-0.047372430494526725,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_impulse_pullback_cont_up,-0.2380432631394343,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_impulse_pullback_cont_down,0.050681578328752565,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_immediate_reversal,-0.300710866574686,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_range_expansion_strength,0.13657604521225603,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_body_ratio,-0.07119377105472921,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,1,L1 logistic feature,event_bar_direction,-0.05792944433193238,0.5647813097831624,0.004081632653061225,0.0020768431983385254
E1 completed-bar events,2,L1 logistic feature,event_cross_prior_high_10,-0.9434364691438066,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_cross_prior_high_20,0.01777956125570259,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_cross_prior_low_20,-0.014272247559017893,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_cross_session_high,-0.2143434055318071,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_cross_session_low,-0.39868704245448544,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_cross_vwap,-0.05159598379935267,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_cross_ema20,-0.030529138851063654,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_large_body_expansion,-0.027638506913564228,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_compression_to_expansion,0.02152432034937961,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_higher_low_break,0.9567355605523986,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_lower_high_break,0.08411424240580363,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_false_break_high,0.002118304085472314,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_false_break_low,-0.044269153739239724,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_impulse_pullback_cont_up,-0.25858257586402494,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_impulse_pullback_cont_down,0.030345134044470968,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_immediate_reversal,-0.34573677759957006,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_range_expansion_strength,0.2568373669985832,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_body_ratio,-0.1077213231022769,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,2,L1 logistic feature,event_bar_direction,0.021665448633159036,0.6550717472466225,0.0020597322348094747,0.0011198208286674132
E1 completed-bar events,3,L1 logistic feature,event_cross_prior_high_10,-0.24425350717059494,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_cross_prior_low_10,-0.06557006915405848,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_cross_prior_high_20,0.032274829412581724,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_cross_prior_low_20,-0.03851115374574419,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_cross_session_high,-0.10017121166061646,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_cross_session_low,-0.08524167625277432,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_cross_vwap,0.04070475461034279,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_cross_ema20,0.020525451902902968,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_large_body_expansion,0.02518049135178652,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_compression_to_expansion,0.022409804598046115,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_higher_low_break,0.3430686657887171,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_lower_high_break,0.21964401941701608,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_false_break_low,0.02669497948946813,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_impulse_pullback_cont_up,0.03453986644194311,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_impulse_pullback_cont_down,0.013888503675606368,0.5690052711297107,0.002452483139178418,0.0012424932698281218
E1 completed-bar events,3,L1 logistic feature,event_immediate_reversal,-0.3094549913076517,0.5690052711297107,0.002452483139178418,0.0012424932698281218
