feature,importance
return_1,0.29848541656955946
ema_9_20_diff,0.11625848762095502
candle_body_ratio,0.1142600175952622
vwap_session,0.1029749517094329
sma_200,0.08408437396672697
return_3,0.0626419839881413
distance_low_10,0.055590541293815916
distance_vwap,0.0511511894781683
distance_ema_200,0.04046438717246405
candle_body,0.039297094704842654
bollinger_z_20,0.02858701653418682
distance_high_20,0.006204539366444482
return_15,0.0
return_10,0.0
return_60,0.0
ema_9,0.0
sma_9,0.0
return_30,0.0
return_5,0.0
distance_ema_100,0.0
sma_100,0.0
ema_100,0.0
distance_ema_50,0.0
sma_50,0.0
ema_50,0.0
distance_ema_20,0.0
sma_20,0.0
ema_20,0.0
distance_ema_9,0.0
macd,0.0
ema_200,0.0
ema_20_50_diff,0.0
rsi_7,0.0
rsi_14,0.0
rsi_21,0.0
bollinger_upper_20,0.0
atr_ratio,0.0
atr_14,0.0
stochastic_d_14,0.0
stochastic_k_14,0.0
macd_hist,0.0
macd_signal,0.0
bollinger_lower_20,0.0
lower_wick_ratio,0.0
upper_wick_ratio,0.0
candle_body_abs,0.0
bollinger_bandwidth_20,0.0
distance_low_20,0.0
distance_high_10,0.0
distance_low_50,0.0
distance_high_50,0.0
