feature,percentile,threshold,direction,precision,recall,lift,TP,FP,FN
candle_body,90,1.8699999999998909,above,0.0018630300320440704,0.17814726840812792,1.7807231148688927,75,40182,346
return_1,90,0.0004256339477794805,above,0.0017892644135188423,0.1710213776718028,1.710212142067972,72,40168,349
candle_body_abs,90,2.7899999999999636,above,0.0017352933885321467,0.16627078384758606,1.6586297563051111,70,40269,351
candle_body_abs,80,1.8500000000003638,above,0.0017146904238267203,0.32779097387095535,1.638937011231363,138,80343,283
candle_body,80,1.0399999999999636,above,0.0016121231662098784,0.3087885985740884,1.5409010787313213,130,80509,291
candle_body_abs,70,1.3599999999996726,above,0.0015933557889174956,0.45843230403691587,1.5229628265425768,193,120935,228
sma_9,90,4989.899266666666,above,0.0015904572564611932,0.15201900237493582,1.5201621261201677,64,40176,357
bollinger_lower_20,90,4982.807002924889,above,0.0015904967817291287,0.15201900237493582,1.5201583476042142,64,40175,357
sma_200,90,4991.5356955,above,0.0015912085726361457,0.15201900237493582,1.5201583347284575,64,40157,357
ema_20,90,4990.366407990549,above,0.0015904177331576854,0.15201900237493582,1.520154571326998,64,40177,357
ema_200,90,4991.21489897952,above,0.0015904177331576854,0.15201900237493582,1.520154571326998,64,40177,357
ema_9,90,4989.881955496959,above,0.0015904177331576854,0.15201900237493582,1.520154571326998,64,40177,357
sma_20,90,4990.048540000001,above,0.0015656452695146112,0.14964370546282746,1.4964058734228984,63,40176,358
bollinger_upper_20,90,4996.257921691088,above,0.0015656452695146112,0.14964370546282746,1.4964058734228984,63,40176,358
sma_50,90,4990.519416,above,0.0015657620041753266,0.14964370546282746,1.4964058713112967,63,40173,358
ema_50,90,4990.958730951765,above,0.0015655674560770966,0.14964370546282746,1.4964021561500136,63,40178,358
return_1,80,0.0002422024329566509,above,0.0015407554671968,0.29453681710143814,1.472682677891883,124,80356,297
return_3,90,0.0007350430914534021,above,0.0015407554671967808,0.14726840855071907,1.47267535840245,62,40178,359
sma_100,90,4990.7745620000005,above,0.0015411001466530403,0.14726840855071907,1.4726533936993016,62,40169,359
ema_100,90,4991.334670316328,above,0.0015407171789965075,0.14726840855071907,1.472649740973029,62,40179,359
candle_body,10,-1.8300000000008367,below,0.001540334401629735,0.14726840855071907,1.4722838743508402,62,40189,359
candle_body_abs,60,1.0299999999997453,above,0.0015250801287018747,0.5843230403786596,1.45770352087508,246,161057,175
return_1,10,-0.00041850644989970264,below,0.0015159045725645747,0.1448931116386107,1.448929731474254,61,40179,360
bollinger_upper_20,80,4706.844046083637,above,0.0014538315295053064,0.27790973871667957,1.3895370056549283,117,80360,304
ema_200,80,4700.459578941301,above,0.0014537592723748282,0.27790973871667957,1.3895335530005035,117,80364,304
return_3,10,-0.0007227738668492133,below,0.0014413518886679563,0.1377672209022856,1.3776640449571307,58,40182,363
sma_9,80,4700.696777777778,above,0.0014413697983324662,0.2755344418045712,1.3776640448884279,116,80363,305
bollinger_lower_20,80,4694.729087059557,above,0.001441405618996714,0.2755344418045712,1.377660620991211,116,80361,305
sma_20,80,4700.56999,above,0.001441405618996714,0.2755344418045712,1.377660620991211,116,80361,305
sma_50,80,4700.777324000001,above,0.0014415130916727585,0.2755344418045712,1.3776606203235437,116,80355,305
sma_200,80,4699.87806,above,0.0014420506955408132,0.2755344418045712,1.3776606169834933,116,80325,305
