model,description,fold,train_from,train_to,test_from,test_to,train_entry_bars,test_entry_bars,historical_candidate_signals_test,tp,fp,fn,precision,recall,f1,roc_auc,pr_auc,direction_accuracy_matched,entry_match_1s,entry_match_5s,entry_match_15s,entry_match_30s,entry_match_60s,entry_match_one_m1_bar,threshold,features_or_rules,complexity,bic_mdl
MODEL 0 time/session,Time and bar-clock state only,1,2025-09-25 19:32:00,2026-01-28 22:09:00,2026-01-28 22:09:15,2026-03-16 09:24:48,114,68,17674,52,17622,16,0.002942174946248727,0.7647058823529411,0.005861796866193214,0.7303863307482974,0.0032666964437908378,0.4807692307692308,0.029411764705882353,0.08823529411764706,0.36764705882352944,0.7647058823529411,0.7941176470588235,0.7941176470588235,0.441100760364678,10,linear,not valid under class weighting/case-control fitting
MODEL 0 time/session,Time and bar-clock state only,2,2025-09-25 19:32:00,2026-03-16 09:24:00,2026-03-16 09:24:48,2026-05-01 20:40:21,182,78,2538,8,2530,70,0.0031520882584712374,0.10256410256410256,0.0061162079510703364,0.7236018596482452,0.003356062174309249,0.5,0.0,0.01282051282051282,0.02564102564102564,0.07692307692307693,0.1282051282051282,0.15384615384615385,0.7603883176056491,10,linear,not valid under class weighting/case-control fitting
MODEL 0 time/session,Time and bar-clock state only,3,2025-09-25 19:32:00,2026-05-01 20:40:00,2026-05-01 20:40:21,2026-06-17 07:55:54,260,64,434,3,431,61,0.0069124423963133645,0.046875,0.012048192771084338,0.6931750120629292,0.0025606548515925273,1.0,0.0,0.0,0.015625,0.03125,0.046875,0.046875,0.8033064066772195,10,linear,not valid under class weighting/case-control fitting
MODEL 0 time/session,Time and bar-clock state only,4,2025-09-25 19:32:00,2026-06-17 07:55:00,2026-06-17 07:55:54,2026-08-02 19:11:27,324,51,396,2,394,49,0.005050505050505051,0.0392156862745098,0.008948545861297539,0.6395460967459802,0.0018160835499059693,0.5,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.8165609044769104,10,linear,not valid under class weighting/case-control fitting
MODEL 0 time/session,Time and bar-clock state only,5,2025-09-25 19:32:00,2026-07-31 23:59:00,2026-08-02 19:11:27,2026-09-18 06:27:00,375,45,510,2,508,43,0.00392156862745098,0.044444444444444446,0.007207207207207207,0.6372129052980118,0.001441834266294742,0.0,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.06666666666666667,0.7716586033206615,10,linear,not valid under class weighting/case-control fitting
MODEL 1 M1 expansion,Prior completed M1 expansion only,1,2025-09-25 19:32:00,2026-01-28 22:09:00,2026-01-28 22:09:15,2026-03-16 09:24:48,114,68,385,0,385,68,0.0,0.0,0.0,0.6312475184050254,0.0027970268008031085,,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.5542160453098146,17,linear,not valid under class weighting/case-control fitting
MODEL 1 M1 expansion,Prior completed M1 expansion only,2,2025-09-25 19:32:00,2026-03-16 09:24:00,2026-03-16 09:24:48,2026-05-01 20:40:21,182,78,2430,5,2425,73,0.00205761316872428,0.0641025641025641,0.003987240829346092,0.5374639088739014,0.0018813257031706555,0.8,0.0,0.01282051282051282,0.0641025641025641,0.08974358974358974,0.15384615384615385,0.19230769230769232,0.6267591695382475,17,linear,not valid under class weighting/case-control fitting
MODEL 1 M1 expansion,Prior completed M1 expansion only,3,2025-09-25 19:32:00,2026-05-01 20:40:00,2026-05-01 20:40:21,2026-06-17 07:55:54,260,64,1134,2,1132,62,0.001763668430335097,0.03125,0.00333889816360601,0.5938576546299206,0.0020624500052611352,1.0,0.0,0.015625,0.015625,0.0625,0.078125,0.109375,0.6334297268211937,17,linear,not valid under class weighting/case-control fitting
MODEL 1 M1 expansion,Prior completed M1 expansion only,4,2025-09-25 19:32:00,2026-06-17 07:55:00,2026-06-17 07:55:54,2026-08-02 19:11:27,324,51,1026,0,1026,51,0.0,0.0,0.0,0.45374011549855525,0.0010180567840987371,,0.0,0.0,0.0,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.6255094361014493,17,linear,not valid under class weighting/case-control fitting
MODEL 1 M1 expansion,Prior completed M1 expansion only,5,2025-09-25 19:32:00,2026-07-31 23:59:00,2026-08-02 19:11:27,2026-09-18 06:27:00,375,45,11142,6,11136,39,0.0005385029617662897,0.13333333333333333,0.0010726736390453205,0.4553871660254639,0.0010417385352757599,0.5,0.022222222222222223,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.17777777777777778,0.24444444444444444,0.5464073990688307,17,linear,not valid under class weighting/case-control fitting
MODEL 2 expansion+trend,M1 expansion and trend/location,1,2025-09-25 19:32:00,2026-01-28 22:09:00,2026-01-28 22:09:15,2026-03-16 09:24:48,114,68,8,0,8,68,0.0,0.0,0.0,0.6237239160459107,0.002351755128287669,,0.0,0.0,0.0,0.0,0.0,0.0,0.7944158979487674,37,linear,not valid under class weighting/case-control fitting
MODEL 2 expansion+trend,M1 expansion and trend/location,2,2025-09-25 19:32:00,2026-03-16 09:24:00,2026-03-16 09:24:48,2026-05-01 20:40:21,182,78,14026,26,14000,52,0.0018537002709254242,0.3333333333333333,0.00368689733408962,0.5188351910363398,0.001775744280697985,0.46153846153846156,0.01282051282051282,0.05128205128205128,0.20512820512820512,0.3974358974358974,0.47435897435897434,0.5256410256410257,0.5391122684858605,37,linear,not valid under class weighting/case-control fitting
MODEL 2 expansion+trend,M1 expansion and trend/location,3,2025-09-25 19:32:00,2026-05-01 20:40:00,2026-05-01 20:40:21,2026-06-17 07:55:54,260,64,6644,11,6633,53,0.0016556291390728477,0.171875,0.003279666070363745,0.5541934108353157,0.0016650719639456628,0.45454545454545453,0.0,0.046875,0.125,0.21875,0.296875,0.359375,0.5927672633783585,37,linear,not valid under class weighting/case-control fitting
MODEL 2 expansion+trend,M1 expansion and trend/location,4,2025-09-25 19:32:00,2026-06-17 07:55:00,2026-06-17 07:55:54,2026-08-02 19:11:27,324,51,11711,12,11699,39,0.0010246776534881736,0.23529411764705882,0.0020404693079408265,0.43743241953775075,0.0010264338048129268,0.5,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.1568627450980392,0.29411764705882354,0.35294117647058826,0.5304859462061748,37,linear,not valid under class weighting/case-control fitting
MODEL 2 expansion+trend,M1 expansion and trend/location,5,2025-09-25 19:32:00,2026-07-31 23:59:00,2026-08-02 19:11:27,2026-09-18 06:27:00,375,45,6122,6,6116,39,0.0009800718719372753,0.13333333333333333,0.0019458407653640344,0.49145086591895104,0.001017599896970067,0.5,0.022222222222222223,0.08888888888888889,0.1111111111111111,0.13333333333333333,0.15555555555555556,0.2,0.5793350983060845,37,linear,not valid under class weighting/case-control fitting
MODEL 3 expansion+trend+VWAP,Adds session VWAP proxy,1,2025-09-25 19:32:00,2026-01-28 22:09:00,2026-01-28 22:09:15,2026-03-16 09:24:48,114,68,30,0,30,68,0.0,0.0,0.0,0.6218263615629465,0.002287038297121559,,0.0,0.0,0.0,0.0,0.0,0.0,0.7715636991139371,38,linear,not valid under class weighting/case-control fitting
MODEL 3 expansion+trend+VWAP,Adds session VWAP proxy,2,2025-09-25 19:32:00,2026-03-16 09:24:00,2026-03-16 09:24:48,2026-05-01 20:40:21,182,78,10333,16,10317,62,0.001548437046356334,0.20512820512820512,0.00307367207761022,0.5244538742208624,0.0018200735893991909,0.3125,0.0,0.02564102564102564,0.1794871794871795,0.3076923076923077,0.38461538461538464,0.47435897435897434,0.5722087778151166,38,linear,not valid under class weighting/case-control fitting
MODEL 3 expansion+trend+VWAP,Adds session VWAP proxy,3,2025-09-25 19:32:00,2026-05-01 20:40:00,2026-05-01 20:40:21,2026-06-17 07:55:54,260,64,2050,3,2047,61,0.0014634146341463415,0.046875,0.002838221381267739,0.5661234374298667,0.001769880091956576,0.3333333333333333,0.0,0.015625,0.03125,0.0625,0.125,0.15625,0.6592102783600042,38,linear,not valid under class weighting/case-control fitting
MODEL 3 expansion+trend+VWAP,Adds session VWAP proxy,4,2025-09-25 19:32:00,2026-06-17 07:55:00,2026-06-17 07:55:54,2026-08-02 19:11:27,324,51,8336,9,8327,42,0.001079654510556622,0.17647058823529413,0.0021461786097531897,0.4480359836967013,0.0010287746953499598,0.5555555555555556,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.09803921568627451,0.19607843137254902,0.19607843137254902,0.568376692749666,38,linear,not valid under class weighting/case-control fitting
MODEL 3 expansion+trend+VWAP,Adds session VWAP proxy,5,2025-09-25 19:32:00,2026-07-31 23:59:00,2026-08-02 19:11:27,2026-09-18 06:27:00,375,45,3676,2,3674,43,0.000544069640914037,0.044444444444444446,0.0010749798441279225,0.4979729490367788,0.0009805468524567633,0.5,0.0,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.08888888888888889,0.1111111111111111,0.6116313720191572,38,linear,not valid under class weighting/case-control fitting
MODEL 4 expansion+session,M1 expansion plus clock state,1,2025-09-25 19:32:00,2026-01-28 22:09:00,2026-01-28 22:09:15,2026-03-16 09:24:48,114,68,235,0,235,68,0.0,0.0,0.0,0.7348815627881454,0.003866620075300065,,0.0,0.0,0.0,0.0,0.0,0.0,0.7814840966737455,27,linear,not valid under class weighting/case-control fitting
MODEL 4 expansion+session,M1 expansion plus clock state,2,2025-09-25 19:32:00,2026-03-16 09:24:00,2026-03-16 09:24:48,2026-05-01 20:40:21,182,78,89,0,89,78,0.0,0.0,0.0,0.7169758206823342,0.0034590184923151543,,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.02564102564102564,0.8756126090638633,27,linear,not valid under class weighting/case-control fitting
MODEL 4 expansion+session,M1 expansion plus clock state,3,2025-09-25 19:32:00,2026-05-01 20:40:00,2026-05-01 20:40:21,2026-06-17 07:55:54,260,64,381,1,380,63,0.0026246719160104987,0.015625,0.0044943820224719105,0.7000990983661745,0.0024803838906307663,0.0,0.0,0.0,0.0,0.015625,0.015625,0.015625,0.8293699087047184,27,linear,not valid under class weighting/case-control fitting
MODEL 4 expansion+session,M1 expansion plus clock state,4,2025-09-25 19:32:00,2026-06-17 07:55:00,2026-06-17 07:55:54,2026-08-02 19:11:27,324,51,262,0,262,51,0.0,0.0,0.0,0.6307660782686737,0.0016365123863436755,,0.0,0.0,0.0,0.0,0.0,0.0,0.8444559176384493,27,linear,not valid under class weighting/case-control fitting
MODEL 4 expansion+session,M1 expansion plus clock state,5,2025-09-25 19:32:00,2026-07-31 23:59:00,2026-08-02 19:11:27,2026-09-18 06:27:00,375,45,504,0,504,45,0.0,0.0,0.0,0.6387664345111154,0.0013926864268943844,,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.7997717155138419,27,linear,not valid under class weighting/case-control fitting
MODEL 5 expansion+session+HTF,Adds completed M5/M15/H1 context,1,2025-09-25 19:32:00,2026-01-28 22:09:00,2026-01-28 22:09:15,2026-03-16 09:24:48,114,68,9382,36,9346,32,0.0038371349392453636,0.5294117647058824,0.007619047619047619,0.7240080545482607,0.003534851435266126,0.4444444444444444,0.029411764705882353,0.058823529411764705,0.2647058823529412,0.5,0.5588235294117647,0.5882352941176471,0.35281761974717113,60,linear,not valid under class weighting/case-control fitting
MODEL 5 expansion+session+HTF,Adds completed M5/M15/H1 context,2,2025-09-25 19:32:00,2026-03-16 09:24:00,2026-03-16 09:24:48,2026-05-01 20:40:21,182,78,1351,4,1347,74,0.0029607698001480384,0.05128205128205128,0.005598320503848845,0.6967672910883055,0.003361605504716649,0.5,0.0,0.01282051282051282,0.01282051282051282,0.0641025641025641,0.10256410256410256,0.1282051282051282,0.8582462476015056,60,linear,not valid under class weighting/case-control fitting
MODEL 5 expansion+session+HTF,Adds completed M5/M15/H1 context,3,2025-09-25 19:32:00,2026-05-01 20:40:00,2026-05-01 20:40:21,2026-06-17 07:55:54,260,64,7395,19,7376,45,0.0025693035835023664,0.296875,0.005094516691245475,0.7029903440459625,0.0028727394515845983,0.6842105263157895,0.0,0.03125,0.109375,0.265625,0.34375,0.375,0.6799240523905752,60,linear,not valid under class weighting/case-control fitting
MODEL 5 expansion+session+HTF,Adds completed M5/M15/H1 context,4,2025-09-25 19:32:00,2026-06-17 07:55:00,2026-06-17 07:55:54,2026-08-02 19:11:27,324,51,40,0,40,51,0.0,0.0,0.0,0.6601059476962949,0.0017506978978173455,,0.0,0.0,0.0,0.0,0.0,0.0,0.9235419541406645,60,linear,not valid under class weighting/case-control fitting
MODEL 5 expansion+session+HTF,Adds completed M5/M15/H1 context,5,2025-09-25 19:32:00,2026-07-31 23:59:00,2026-08-02 19:11:27,2026-09-18 06:27:00,375,45,276,0,276,45,0.0,0.0,0.0,0.6677936720489912,0.0015401976211721125,,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.8847386933618634,60,linear,not valid under class weighting/case-control fitting
MODEL 6 prior interpretable,Lagged version of prior body/EMA/VWAP candidate,1,2025-09-25 19:32:00,2026-01-28 22:09:00,2026-01-28 22:09:15,2026-03-16 09:24:48,114,68,1979,1,1978,67,0.0005053057099545225,0.014705882352941176,0.0009770395701025891,0.5441021473958588,0.0016932948168391277,1.0,0.0,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.058823529411764705,0.5606611391931001,5,linear,not valid under class weighting/case-control fitting
MODEL 6 prior interpretable,Lagged version of prior body/EMA/VWAP candidate,2,2025-09-25 19:32:00,2026-03-16 09:24:00,2026-03-16 09:24:48,2026-05-01 20:40:21,182,78,1265,3,1262,75,0.0023715415019762848,0.038461538461538464,0.004467609828741623,0.49063978902496297,0.0016641099079327771,0.3333333333333333,0.0,0.0,0.01282051282051282,0.02564102564102564,0.038461538461538464,0.038461538461538464,0.5754057038044522,5,linear,not valid under class weighting/case-control fitting
MODEL 6 prior interpretable,Lagged version of prior body/EMA/VWAP candidate,3,2025-09-25 19:32:00,2026-05-01 20:40:00,2026-05-01 20:40:21,2026-06-17 07:55:54,260,64,645,2,643,62,0.0031007751937984496,0.03125,0.005641748942172073,0.5388303587459042,0.00178575910848379,1.0,0.0,0.0,0.015625,0.03125,0.03125,0.03125,0.5649552031353527,5,linear,not valid under class weighting/case-control fitting
