divergence_index,event_type,decision_time_utc,status,side,volume,reason_category,detail
1,missed_observed_epoch,2025-09-25 16:43:46+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-09-25 16:43:46+00:00 not triggered by candidate policy entry rules.
2,missed_observed_epoch,2025-09-26 15:47:57+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-09-26 15:47:57+00:00 not triggered by candidate policy entry rules.
3,missed_observed_epoch,2025-09-29 05:46:42+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-09-29 05:46:42+00:00 not triggered by candidate policy entry rules.
4,missed_observed_epoch,2025-09-30 08:20:52+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-09-30 08:20:52+00:00 not triggered by candidate policy entry rules.
5,missed_observed_epoch,2025-09-30 08:25:56+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-09-30 08:25:56+00:00 not triggered by candidate policy entry rules.
6,missed_observed_epoch,2025-10-01 06:25:14+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-01 06:25:14+00:00 not triggered by candidate policy entry rules.
7,missed_observed_epoch,2025-10-01 08:28:02+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-01 08:28:02+00:00 not triggered by candidate policy entry rules.
8,missed_observed_epoch,2025-10-02 05:13:35+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-02 05:13:35+00:00 not triggered by candidate policy entry rules.
9,missed_observed_epoch,2025-10-02 12:17:55+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-02 12:17:55+00:00 not triggered by candidate policy entry rules.
10,missed_observed_epoch,2025-10-02 12:23:08+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-02 12:23:08+00:00 not triggered by candidate policy entry rules.
11,missed_observed_epoch,2025-10-02 13:13:13+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-02 13:13:13+00:00 not triggered by candidate policy entry rules.
12,missed_observed_epoch,2025-10-03 07:17:25+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-03 07:17:25+00:00 not triggered by candidate policy entry rules.
13,missed_observed_epoch,2025-10-03 15:18:08+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-03 15:18:08+00:00 not triggered by candidate policy entry rules.
14,missed_observed_epoch,2025-10-06 09:14:39+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-06 09:14:39+00:00 not triggered by candidate policy entry rules.
15,missed_observed_epoch,2025-10-06 11:10:55+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-06 11:10:55+00:00 not triggered by candidate policy entry rules.
16,missed_observed_epoch,2025-10-07 05:47:44+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-07 05:47:44+00:00 not triggered by candidate policy entry rules.
17,missed_observed_epoch,2025-10-07 05:53:49+00:00,FN,Sell,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-07 05:53:49+00:00 not triggered by candidate policy entry rules.
18,missed_observed_epoch,2025-10-07 06:17:36+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-07 06:17:36+00:00 not triggered by candidate policy entry rules.
19,missed_observed_epoch,2025-10-08 09:19:47+00:00,FN,Sell,0.02,threshold_unmet_or_cooldown,Observed trade at 2025-10-08 09:19:47+00:00 not triggered by candidate policy entry rules.
20,missed_observed_epoch,2025-10-08 09:36:16+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-08 09:36:16+00:00 not triggered by candidate policy entry rules.
21,missed_observed_epoch,2025-10-08 09:42:32+00:00,FN,Buy,0.02,threshold_unmet_or_cooldown,Observed trade at 2025-10-08 09:42:32+00:00 not triggered by candidate policy entry rules.
22,missed_observed_epoch,2025-10-09 11:04:35+00:00,FN,Sell,0.02,threshold_unmet_or_cooldown,Observed trade at 2025-10-09 11:04:35+00:00 not triggered by candidate policy entry rules.
23,missed_observed_epoch,2025-10-09 11:19:30+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-09 11:19:30+00:00 not triggered by candidate policy entry rules.
24,missed_observed_epoch,2025-10-09 11:42:13+00:00,FN,Buy,0.01,threshold_unmet_or_cooldown,Observed trade at 2025-10-09 11:42:13+00:00 not triggered by candidate policy entry rules.
25,missed_observed_epoch,2025-10-10 16:29:10+00:00,FN,Buy,0.02,threshold_unmet_or_cooldown,Observed trade at 2025-10-10 16:29:10+00:00 not triggered by candidate policy entry rules.
