observed_index,status,predicted_index,timing_error_seconds,direction_match,volume_error
0,tp,0.0,0.0,True,0.0
1,fn,,,,
2,fn,,,,
3,fn,,,,
4,fn,,,,
5,fn,,,,
6,fn,,,,
7,fn,,,,
8,fn,,,,
9,fn,,,,
10,fn,,,,
11,fn,,,,
12,fn,,,,
13,fn,,,,
14,fn,,,,
15,fn,,,,
16,fn,,,,
17,fn,,,,
18,fn,,,,
19,fn,,,,
20,fn,,,,
21,fn,,,,
22,fn,,,,
23,fn,,,,
24,fn,,,,
25,fn,,,,
26,fn,,,,
27,fn,,,,
28,fn,,,,
29,fn,,,,
30,fn,,,,
31,fn,,,,
32,fn,,,,
33,fn,,,,
34,fn,,,,
35,fn,,,,
36,fn,,,,
37,fn,,,,
38,fn,,,,
39,fn,,,,
40,fn,,,,
41,fn,,,,
42,fn,,,,
43,fn,,,,
44,fn,,,,
45,fn,,,,
46,fn,,,,
47,fn,,,,
48,fn,,,,
49,fn,,,,
50,fn,,,,
51,fn,,,,
52,fn,,,,
53,fn,,,,
54,fn,,,,
55,fn,,,,
56,fn,,,,
57,fn,,,,
58,fn,,,,
59,fn,,,,
60,fn,,,,
61,fn,,,,
62,fn,,,,
63,fn,,,,
64,fn,,,,
65,fn,,,,
66,fn,,,,
67,fn,,,,
68,fn,,,,
69,fn,,,,
70,fn,,,,
71,fn,,,,
72,fn,,,,
73,fn,,,,
74,fn,,,,
75,fn,,,,
76,fn,,,,
77,fn,,,,
78,fn,,,,
79,fn,,,,
80,fn,,,,
81,fn,,,,
82,fn,,,,
83,fn,,,,
84,fn,,,,
85,fn,,,,
86,fn,,,,
87,fn,,,,
88,fn,,,,
89,fn,,,,
90,fn,,,,
91,fn,,,,
92,fn,,,,
93,fn,,,,
94,fn,,,,
95,fn,,,,
96,fn,,,,
97,fn,,,,
98,fn,,,,
99,fn,,,,
100,fn,,,,
101,fn,,,,
102,fn,,,,
103,fn,,,,
104,fn,,,,
105,fn,,,,
106,fn,,,,
107,fn,,,,
108,fn,,,,
109,fn,,,,
110,fn,,,,
111,fn,,,,
112,fn,,,,
113,fn,,,,
114,fn,,,,
115,fn,,,,
116,fn,,,,
117,fn,,,,
118,fn,,,,
119,fn,,,,
120,fn,,,,
121,fn,,,,
122,fn,,,,
123,fn,,,,
124,fn,,,,
125,fn,,,,
126,fn,,,,
127,fn,,,,
128,fn,,,,
129,fn,,,,
130,fn,,,,
131,fn,,,,
132,fn,,,,
133,fn,,,,
134,fn,,,,
135,fn,,,,
136,fn,,,,
137,fn,,,,
138,fn,,,,
139,fn,,,,
140,fn,,,,
141,fn,,,,
142,fn,,,,
143,fn,,,,
144,fn,,,,
145,fn,,,,
146,fn,,,,
147,fn,,,,
148,fn,,,,
149,fn,,,,
150,fn,,,,
151,fn,,,,
152,fn,,,,
153,fn,,,,
154,fn,,,,
155,fn,,,,
156,fn,,,,
157,fn,,,,
158,fn,,,,
159,fn,,,,
160,fn,,,,
161,fn,,,,
162,fn,,,,
163,fn,,,,
164,fn,,,,
165,fn,,,,
166,fn,,,,
167,fn,,,,
168,fn,,,,
169,fn,,,,
170,fn,,,,
171,fn,,,,
172,fn,,,,
173,fn,,,,
174,fn,,,,
175,fn,,,,
176,fn,,,,
177,fn,,,,
178,fn,,,,
179,fn,,,,
180,fn,,,,
181,fn,,,,
182,fn,,,,
183,fn,,,,
184,fn,,,,
185,fn,,,,
186,fn,,,,
187,fn,,,,
188,fn,,,,
189,fn,,,,
190,fn,,,,
191,fn,,,,
192,fn,,,,
193,fn,,,,
194,fn,,,,
195,fn,,,,
196,fn,,,,
197,fn,,,,
198,fn,,,,
199,fn,,,,
200,fn,,,,
201,fn,,,,
202,fn,,,,
203,fn,,,,
204,fn,,,,
205,fn,,,,
206,fn,,,,
207,fn,,,,
208,fn,,,,
209,fn,,,,
210,fn,,,,
211,fn,,,,
212,fn,,,,
213,fn,,,,
214,fn,,,,
215,fn,,,,
216,fn,,,,
217,fn,,,,
218,fn,,,,
219,fn,,,,
220,fn,,,,
221,fn,,,,
222,fn,,,,
223,fn,,,,
224,fn,,,,
225,fn,,,,
226,fn,,,,
227,fn,,,,
228,fn,,,,
229,fn,,,,
230,fn,,,,
231,fn,,,,
232,fn,,,,
233,fn,,,,
234,fn,,,,
235,fn,,,,
236,fn,,,,
237,fn,,,,
238,fn,,,,
239,fn,,,,
240,fn,,,,
241,fn,,,,
242,fn,,,,
243,fn,,,,
244,fn,,,,
245,fn,,,,
246,fn,,,,
247,fn,,,,
248,fn,,,,
249,fn,,,,
250,fn,,,,
251,fn,,,,
252,fn,,,,
253,fn,,,,
254,fn,,,,
255,fn,,,,
256,fn,,,,
257,fn,,,,
258,fn,,,,
259,fn,,,,
260,fn,,,,
261,fn,,,,
262,fn,,,,
263,fn,,,,
264,fn,,,,
265,fn,,,,
266,fn,,,,
267,fn,,,,
268,fn,,,,
269,fn,,,,
270,fn,,,,
271,fn,,,,
272,fn,,,,
273,fn,,,,
274,fn,,,,
275,fn,,,,
276,fn,,,,
277,fn,,,,
278,fn,,,,
279,fn,,,,
280,fn,,,,
281,fn,,,,
282,fn,,,,
283,fn,,,,
284,fn,,,,
285,fn,,,,
286,fn,,,,
287,fn,,,,
288,fn,,,,
289,fn,,,,
290,fn,,,,
291,fn,,,,
292,fn,,,,
293,fn,,,,
294,fn,,,,
295,fn,,,,
296,fn,,,,
297,fn,,,,
298,fn,,,,
299,fn,,,,
300,fn,,,,
301,fn,,,,
302,fn,,,,
303,fn,,,,
304,fn,,,,
305,fn,,,,
306,fn,,,,
307,fn,,,,
308,fn,,,,
309,fn,,,,
310,fn,,,,
311,fn,,,,
312,fn,,,,
313,fn,,,,
314,fn,,,,
315,fn,,,,
316,fn,,,,
317,fn,,,,
318,fn,,,,
319,fn,,,,
320,fn,,,,
321,fn,,,,
322,fn,,,,
323,fn,,,,
324,fn,,,,
325,fn,,,,
326,fn,,,,
327,fn,,,,
328,fn,,,,
329,fn,,,,
330,fn,,,,
331,fn,,,,
332,fn,,,,
333,fn,,,,
334,fn,,,,
335,fn,,,,
336,fn,,,,
337,fn,,,,
338,fn,,,,
339,fn,,,,
340,fn,,,,
341,fn,,,,
342,fn,,,,
