window_sec,threshold_dollar,continuation_trades,continuation_pct,reversal_trades,reversal_pct
5,0.25,117,27.923627684964202,96,22.911694510739856
5,0.5,66,15.75178997613365,43,10.26252983293556
5,0.75,38,9.069212410501192,27,6.443914081145586
5,1.0,28,6.682577565632458,13,3.1026252983293556
10,0.25,145,34.60620525059666,111,26.49164677804296
10,0.5,104,24.821002386634845,73,17.42243436754177
10,0.75,72,17.18377088305489,42,10.023866348448687
10,1.0,51,12.17183770883055,29,6.921241050119331
30,0.25,200,47.7326968973747,134,31.980906921241047
30,0.5,154,36.754176610978526,105,25.059665871121716
30,0.75,128,30.54892601431981,84,20.047732696897373
30,1.0,105,25.059665871121716,69,16.467780429594274
