ticket,open_time,volume,pnl,cum_pnl,prev_volume,prev_pnl,prev_win,win_streak_before,loss_streak_before,side,hour_broker,dow
36094988,2025-09-25T19:32:56,0.01,0.97,0.0,,,,0,0,Buy,19,3
36095791,2025-09-25T19:43:46,0.01,2.52,0.97,0.01,0.97,True,1,0,Sell,19,3
36148327,2025-09-26T18:47:57,0.01,0.82,3.49,0.01,2.52,True,2,0,Buy,18,4
36168589,2025-09-29T08:46:42,0.01,3.9,4.3100000000000005,0.01,0.82,True,3,0,Buy,8,0
36168590,2025-09-29T08:46:47,0.01,3.52,8.21,0.01,3.9,True,4,0,Buy,8,0
36227385,2025-09-30T11:20:52,0.01,6.03,11.73,0.01,3.52,True,5,0,Sell,11,1
36227388,2025-09-30T11:20:57,0.03,6.79,17.76,0.01,6.03,True,6,0,Sell,11,1
36228676,2025-09-30T11:25:56,0.01,12.91,24.55,0.03,6.79,True,7,0,Sell,11,1
36274877,2025-10-01T09:25:14,0.01,2.01,37.46,0.01,12.91,True,8,0,Buy,9,2
36283671,2025-10-01T11:28:02,0.01,6.25,39.47,0.01,2.01,True,9,0,Sell,11,2
36322976,2025-10-02T08:13:35,0.01,1.21,45.72,0.01,6.25,True,10,0,Buy,8,3
36334931,2025-10-02T15:17:55,0.01,1.43,46.93,0.01,1.21,True,11,0,Buy,15,3
36335183,2025-10-02T15:23:08,0.01,1.32,48.36,0.01,1.43,True,12,0,Buy,15,3
36335196,2025-10-02T15:23:37,0.01,1.22,49.68,0.01,1.32,True,13,0,Buy,15,3
36337657,2025-10-02T16:13:13,0.01,1.81,50.9,0.01,1.22,True,14,0,Sell,16,3
36368405,2025-10-03T10:17:25,0.01,1.2,52.71,0.01,1.81,True,15,0,Buy,10,4
36383087,2025-10-03T18:18:08,0.01,7.8,53.910000000000004,0.01,1.2,True,16,0,Buy,18,4
36414174,2025-10-06T12:14:39,0.01,2.46,61.71,0.01,7.8,True,17,0,Sell,12,0
36416362,2025-10-06T14:10:55,0.01,3.02,64.17,0.01,2.46,True,18,0,Sell,14,0
36450406,2025-10-07T08:47:44,0.01,-1.71,67.19,0.01,3.02,True,19,0,Sell,8,1
36450588,2025-10-07T08:53:49,0.01,3.62,65.48,0.01,-1.71,False,0,1,Sell,8,1
36451248,2025-10-07T09:17:36,0.01,1.43,69.10000000000001,0.01,3.62,True,1,0,Buy,9,1
36508294,2025-10-08T12:19:47,0.02,4.98,70.53000000000002,0.01,1.43,True,2,0,Sell,12,2
36508676,2025-10-08T12:36:16,0.01,2.27,75.51000000000002,0.02,4.98,True,3,0,Buy,12,2
36508993,2025-10-08T12:42:32,0.02,5.04,77.78000000000002,0.01,2.27,True,4,0,Buy,12,2
36561296,2025-10-09T14:04:35,0.02,2.84,82.82000000000002,0.02,5.04,True,5,0,Sell,14,3
36562289,2025-10-09T14:19:30,0.01,4.04,85.66000000000003,0.02,2.84,True,6,0,Buy,14,3
36562770,2025-10-09T14:42:13,0.01,2.88,89.70000000000003,0.01,4.04,True,7,0,Buy,14,3
36640713,2025-10-10T19:29:10,0.02,4.56,92.58000000000003,0.01,2.88,True,8,0,Buy,19,4
36682106,2025-10-13T15:38:45,0.01,0.71,97.14000000000003,0.02,4.56,True,9,0,Sell,15,0
36725889,2025-10-14T10:42:54,0.02,4.94,97.85000000000002,0.01,0.71,True,10,0,Sell,10,1
36726171,2025-10-14T10:52:46,0.02,5.0,102.79000000000002,0.02,4.94,True,11,0,Sell,10,1
36768836,2025-10-15T09:35:08,0.02,7.8,107.79000000000002,0.02,5.0,True,12,0,Buy,9,2
36829765,2025-10-16T13:15:47,0.01,0.45,115.59000000000002,0.02,7.8,True,13,0,Sell,13,3
36829878,2025-10-16T13:23:12,0.01,-2.92,116.04000000000002,0.01,0.45,True,14,0,Buy,13,3
36829995,2025-10-16T13:29:09,0.02,3.94,113.12000000000002,0.01,-2.92,False,0,1,Buy,13,3
36893509,2025-10-17T13:15:10,0.01,1.94,117.06000000000002,0.02,3.94,True,1,0,Buy,13,4
36902372,2025-10-17T15:37:18,0.01,2.84,119.00000000000001,0.01,1.94,True,2,0,Sell,15,4
36954767,2025-10-20T11:47:26,0.01,3.94,121.84000000000002,0.01,2.84,True,3,0,Sell,11,0
36997575,2025-10-21T10:23:43,0.01,-1.96,125.78000000000002,0.01,3.94,True,4,0,Buy,10,1
36998918,2025-10-21T10:42:21,0.01,4.74,123.82000000000002,0.01,-1.96,False,0,1,Buy,10,1
37005647,2025-10-21T13:56:35,0.01,3.73,128.56000000000003,0.01,4.74,True,1,0,Sell,13,1
37045628,2025-10-22T10:02:29,0.02,6.5,132.29000000000002,0.01,3.73,True,2,0,Sell,10,2
37082195,2025-10-23T08:30:44,0.02,9.36,138.79000000000002,0.02,6.5,True,3,0,Buy,8,3
37145681,2025-10-24T19:34:45,0.01,4.13,148.15000000000003,0.02,9.36,True,4,0,Sell,19,4
37162697,2025-10-27T08:13:05,0.01,4.38,152.28000000000003,0.01,4.13,True,5,0,Buy,8,0
37217619,2025-10-28T12:52:18,0.01,5.94,156.66000000000003,0.01,4.38,True,6,0,Sell,12,1
37296835,2025-10-30T09:44:53,0.01,4.42,162.60000000000002,0.01,5.94,True,7,0,Buy,9,3
37386001,2025-11-03T18:38:37,0.01,9.65,167.02,0.01,4.42,True,8,0,Buy,18,0
