sl_dollars,trail_act_dollars,trail_dist_dollars,median_error_min,mean_error_min
2.0,1.5,0.5,6.316666666666666,17.186635220125787
2.0,1.5,0.75,6.116666666666667,17.024528301886793
2.0,1.5,1.0,6.116666666666667,16.822641509433964
2.0,1.5,1.25,5.8,16.746540880503147
2.0,1.5,1.5,5.566666666666666,16.63946540880503
2.0,1.5,1.75,5.550000000000001,16.46194968553459
2.0,1.5,2.0,5.6,16.34119496855346
2.0,1.5,2.25,5.6499999999999995,16.04874213836478
2.0,2.0,0.5,6.316666666666666,17.167767295597486
2.0,2.0,0.75,6.116666666666667,17.015094339622642
2.0,2.0,1.0,6.116666666666667,16.81320754716981
2.0,2.0,1.25,5.8,16.737106918238993
2.0,2.0,1.5,5.566666666666666,16.63003144654088
2.0,2.0,1.75,5.550000000000001,16.45251572327044
2.0,2.0,2.0,5.6,16.33176100628931
2.0,2.0,2.25,5.6499999999999995,16.03930817610063
2.0,2.5,0.5,6.225,17.124213836477985
2.0,2.5,0.75,5.991666666666667,16.990408805031446
2.0,2.5,1.0,6.116666666666667,16.793238993710695
2.0,2.5,1.25,5.8,16.717138364779878
2.0,2.5,1.5,5.566666666666666,16.61006289308176
2.0,2.5,1.75,5.550000000000001,16.43254716981132
2.0,2.5,2.0,5.6,16.31179245283019
2.0,2.5,2.25,5.6499999999999995,16.01933962264151
2.0,3.0,0.5,6.341666666666667,17.179874213836477
2.0,3.0,0.75,6.116666666666667,17.043396226415094
2.0,3.0,1.0,6.25,16.855660377358493
2.0,3.0,1.25,5.9,16.779559748427673
2.0,3.0,1.5,5.6,16.67248427672956
2.0,3.0,1.75,5.566666666666666,16.499685534591194
2.0,3.0,2.0,5.6499999999999995,16.378930817610062
2.0,3.0,2.25,5.725,16.07122641509434
2.0,3.5,0.5,6.341666666666667,17.16572327044025
2.0,3.5,0.75,6.116666666666667,17.029245283018867
2.0,3.5,1.0,6.25,16.841509433962266
2.0,3.5,1.25,5.9,16.765408805031445
2.0,3.5,1.5,5.6,16.654245283018867
2.0,3.5,1.75,5.566666666666666,16.4814465408805
2.0,3.5,2.0,5.6499999999999995,16.365408805031446
2.0,3.5,2.25,5.725,16.057704402515725
2.0,4.0,0.5,6.341666666666667,17.12327044025157
2.0,4.0,0.75,6.116666666666667,16.991509433962264
2.0,4.0,1.0,6.25,16.803773584905663
2.0,4.0,1.25,5.9,16.727672955974842
2.0,4.0,1.5,5.6,16.616509433962264
2.0,4.0,1.75,5.566666666666666,16.4437106918239
2.0,4.0,2.0,5.6499999999999995,16.332389937106917
2.0,4.0,2.25,5.725,16.029402515723273
2.0,4.5,0.5,6.225,17.02610062893082
2.0,4.5,0.75,5.991666666666667,16.89433962264151
2.0,4.5,1.0,6.116666666666667,16.706603773584906
2.0,4.5,1.25,5.8,16.644654088050316
2.0,4.5,1.5,5.6,16.533490566037738
2.0,4.5,1.75,5.566666666666666,16.36540880503145
2.0,4.5,2.0,5.6499999999999995,16.258805031446542
2.0,4.5,2.25,5.691666666666666,15.960534591194968
2.0,5.0,0.5,6.225,17.163522012578618
2.0,5.0,0.75,5.991666666666667,17.031761006289308
2.0,5.0,1.0,6.116666666666667,16.85817610062893
2.0,5.0,1.25,5.9,16.800943396226415
2.0,5.0,1.5,5.7333333333333325,16.732232704402517
2.0,5.0,1.75,5.6499999999999995,16.56415094339623
2.0,5.0,2.0,5.7333333333333325,16.45754716981132
2.0,5.0,2.25,5.808333333333334,16.173427672955974
2.5,1.5,0.5,6.225,17.1064465408805
2.5,1.5,0.75,5.991666666666667,16.944339622641508
2.5,1.5,1.0,5.991666666666667,16.737735849056605
2.5,1.5,1.25,5.691666666666666,16.65691823899371
2.5,1.5,1.5,5.516666666666667,16.540408805031447
2.5,1.5,1.75,5.516666666666667,16.378773584905662
2.5,1.5,2.0,5.583333333333334,16.258018867924527
2.5,1.5,2.25,5.6499999999999995,16.064622641509434
2.5,2.0,0.5,6.225,17.061006289308175
2.5,2.0,0.75,5.991666666666667,16.90833333333333
2.5,2.0,1.0,5.991666666666667,16.706446540880503
2.5,2.0,1.25,5.691666666666666,16.639779874213836
2.5,2.0,1.5,5.516666666666667,16.5374213836478
2.5,2.0,1.75,5.516666666666667,16.36933962264151
2.5,2.0,2.0,5.583333333333334,16.248584905660376
2.5,2.0,2.25,5.6499999999999995,16.064622641509434
2.5,2.5,0.5,6.116666666666667,17.03632075471698
2.5,2.5,0.75,5.958333333333333,16.90251572327044
2.5,2.5,1.0,5.991666666666667,16.70534591194969
2.5,2.5,1.25,5.683333333333334,16.629245283018868
2.5,2.5,1.5,5.441666666666666,16.526886792452828
2.5,2.5,1.75,5.441666666666666,16.35880503144654
2.5,2.5,2.0,5.5166666666666675,16.238050314465408
2.5,2.5,2.25,5.616666666666667,16.054088050314466
2.5,3.0,0.5,6.225,17.120283018867923
2.5,3.0,0.75,5.991666666666667,17.00267295597484
2.5,3.0,1.0,6.116666666666667,16.81493710691824
2.5,3.0,1.25,5.8,16.73883647798742
2.5,3.0,1.5,5.516666666666667,16.636477987421383
2.5,3.0,1.75,5.516666666666667,16.473113207547172
2.5,3.0,2.0,5.616666666666667,16.357075471698113
2.5,3.0,2.25,5.725,16.162578616352203
2.5,3.5,0.5,6.225,17.1061320754717
2.5,3.5,0.75,5.991666666666667,16.988522012578617
2.5,3.5,1.0,6.116666666666667,16.800786163522012
2.5,3.5,1.25,5.8,16.724685534591195
2.5,3.5,1.5,5.516666666666667,16.61823899371069
2.5,3.5,1.75,5.516666666666667,16.45487421383648
2.5,3.5,2.0,5.616666666666667,16.343553459119498
2.5,3.5,2.25,5.725,16.149056603773584
2.5,4.0,0.5,6.225,17.058962264150942
2.5,4.0,0.75,5.991666666666667,16.946069182389937
2.5,4.0,1.0,6.116666666666667,16.758333333333333
2.5,4.0,1.25,5.8,16.682232704402516
2.5,4.0,1.5,5.516666666666667,16.57578616352201
2.5,4.0,1.75,5.516666666666667,16.4124213836478
2.5,4.0,2.0,5.616666666666667,16.305817610062896
2.5,4.0,2.25,5.725,16.116037735849055
2.5,4.5,0.5,6.116666666666667,17.056132075471698
2.5,4.5,0.75,5.958333333333333,16.947955974842767
2.5,4.5,1.0,5.991666666666667,16.746069182389938
2.5,4.5,1.25,5.7333333333333325,16.67940251572327
2.5,4.5,1.5,5.516666666666667,16.568238993710693
2.5,4.5,1.75,5.441666666666666,16.4001572327044
2.5,4.5,2.0,5.5166666666666675,16.298270440251574
2.5,4.5,2.25,5.616666666666667,16.004716981132077
2.5,5.0,0.5,6.116666666666667,17.193553459119496
2.5,5.0,0.75,5.958333333333333,17.085377358490565
2.5,5.0,1.0,5.991666666666667,16.897641509433964
2.5,5.0,1.25,5.8,16.835691823899374
2.5,5.0,1.5,5.625,16.766981132075472
2.5,5.0,1.75,5.550000000000001,16.598899371069184
2.5,5.0,2.0,5.691666666666666,16.497012578616353
2.5,5.0,2.25,5.7333333333333325,16.21761006289308
3.0,1.5,0.5,6.425000000000001,16.962264150943398
3.0,1.5,0.75,6.308333333333334,16.819025157232705
3.0,1.5,1.0,6.25,16.626572327044027
3.0,1.5,1.25,5.9,16.545754716981133
3.0,1.5,1.5,5.583333333333334,16.42924528301887
3.0,1.5,1.75,5.583333333333334,16.267610062893084
3.0,1.5,2.0,5.725,16.14685534591195
3.0,1.5,2.25,5.808333333333334,15.953459119496856
3.0,2.0,0.5,6.716666666666667,16.97814465408805
3.0,2.0,0.75,6.441666666666666,16.83490566037736
3.0,2.0,1.0,6.441666666666666,16.647169811320754
3.0,2.0,1.25,6.058333333333334,16.59937106918239
3.0,2.0,1.5,5.866666666666667,16.50172955974843
3.0,2.0,1.75,5.725,16.38553459119497
3.0,2.0,2.0,5.908333333333333,16.264779874213836
3.0,2.0,2.25,6.033333333333333,16.080817610062894
3.0,2.5,0.5,6.716666666666667,16.981761006289307
3.0,2.5,0.75,6.441666666666666,16.857389937106916
3.0,2.5,1.0,6.441666666666666,16.67437106918239
3.0,2.5,1.25,6.058333333333334,16.59827044025157
3.0,2.5,1.5,5.866666666666667,16.486477987421384
3.0,2.5,1.75,5.725,16.370283018867923
3.0,2.5,2.0,5.908333333333333,16.249528301886794
3.0,2.5,2.25,6.033333333333333,16.06556603773585
3.0,3.0,0.5,6.841666666666667,17.084591194968553
3.0,3.0,0.75,6.525,16.971698113207548
3.0,3.0,1.0,6.525,16.783962264150944
3.0,3.0,1.25,6.2666666666666675,16.707861635220127
3.0,3.0,1.5,6.033333333333333,16.596069182389936
3.0,3.0,1.75,5.866666666666667,16.484591194968555
3.0,3.0,2.0,6.033333333333333,16.368553459119497
3.0,3.0,2.25,6.233333333333334,16.174056603773586
3.0,3.5,0.5,6.841666666666667,17.07044025157233
3.0,3.5,0.75,6.525,16.95754716981132
3.0,3.5,1.0,6.525,16.769811320754716
3.0,3.5,1.25,6.2666666666666675,16.6937106918239
3.0,3.5,1.5,6.033333333333333,16.577830188679247
3.0,3.5,1.75,5.866666666666667,16.466352201257862
3.0,3.5,2.0,6.033333333333333,16.35503144654088
3.0,3.5,2.25,6.233333333333334,16.16053459119497
3.0,4.0,0.5,6.841666666666667,17.059905660377357
3.0,4.0,0.75,6.525,16.951729559748426
3.0,4.0,1.0,6.525,16.763993710691825
3.0,4.0,1.25,6.2666666666666675,16.687893081761004
3.0,4.0,1.5,6.033333333333333,16.581446540880503
3.0,4.0,1.75,5.866666666666667,16.46996855345912
3.0,4.0,2.0,6.033333333333333,16.363364779874217
3.0,4.0,2.25,6.233333333333334,16.173584905660377
3.0,4.5,0.5,6.716666666666667,17.057075471698113
3.0,4.5,0.75,6.441666666666666,16.95361635220126
3.0,4.5,1.0,6.441666666666666,16.75172955974843
3.0,4.5,1.25,6.058333333333334,16.685062893081763
3.0,4.5,1.5,5.866666666666667,16.573899371069185
3.0,4.5,1.75,5.691666666666666,16.457704402515724
3.0,4.5,2.0,5.808333333333334,16.355817610062893
3.0,4.5,2.25,5.908333333333333,16.062264150943395
3.0,5.0,0.5,6.758333333333333,17.20864779874214
3.0,5.0,0.75,6.441666666666666,17.105188679245284
3.0,5.0,1.0,6.441666666666666,16.91745283018868
3.0,5.0,1.25,6.2666666666666675,16.85550314465409
3.0,5.0,1.5,6.2666666666666675,16.78679245283019
3.0,5.0,1.75,5.866666666666667,16.67059748427673
3.0,5.0,2.0,6.033333333333333,16.5687106918239
3.0,5.0,2.25,6.233333333333334,16.289308176100626
