bin_start_min,bin_end_min,at_risk,exited,hazard_rate
0,5,423,168,0.3971631205673759
5,10,255,85,0.3333333333333333
10,15,170,63,0.37058823529411766
15,20,107,26,0.24299065420560748
20,25,81,21,0.25925925925925924
25,30,60,8,0.13333333333333333
30,35,52,9,0.17307692307692307
35,40,43,6,0.13953488372093023
40,45,37,4,0.10810810810810811
45,50,33,4,0.12121212121212122
50,55,29,6,0.20689655172413793
55,60,23,1,0.043478260869565216
60,65,22,4,0.18181818181818182
65,70,18,2,0.1111111111111111
70,75,16,3,0.1875
75,80,13,1,0.07692307692307693
80,85,12,2,0.16666666666666666
85,90,10,0,0.0
90,95,10,3,0.3
95,100,7,2,0.2857142857142857
100,105,5,0,0.0
105,110,5,0,0.0
110,115,5,0,0.0
115,120,5,0,0.0
