ticket,open_time_utc,close_time_utc,side,volume,recorded_pnl,prior_pnl,prior_win,prior_hold_min,inter_trade_min,daily_trade_seq,win_streak,latent_state
36094988,2025-09-25 16:32:56,2025-09-25 16:42:55,Buy,0.01,0.97,0.0,1,0.0,0.0,1,1,STATE_IMMEDIATE_CHAIN
36095791,2025-09-25 16:43:46,2025-09-25 16:45:31,Sell,0.01,2.52,0.97,1,9.983333333333333,0.85,2,1,STATE_IMMEDIATE_CHAIN
36148327,2025-09-26 15:47:57,2025-09-26 15:54:27,Buy,0.01,0.82,2.52,1,1.75,1382.4333333333334,1,2,STATE_INTRADAY_PAUSE
36168589,2025-09-29 05:46:42,2025-09-29 05:52:58,Buy,0.01,3.9,0.82,1,6.5,3712.25,1,3,STATE_INTRADAY_PAUSE
36168590,2025-09-29 05:46:47,2025-09-29 05:52:55,Buy,0.01,3.52,3.9,1,6.266666666666667,-6.183333333333334,2,4,STATE_CONCURRENT_OVERLAP
36227385,2025-09-30 08:20:52,2025-09-30 08:22:05,Sell,0.01,6.03,3.52,1,6.133333333333334,1587.95,1,5,STATE_INTRADAY_PAUSE
36227388,2025-09-30 08:20:57,2025-09-30 08:23:20,Sell,0.03,6.79,6.03,1,1.2166666666666666,-1.1333333333333333,2,6,STATE_CONCURRENT_OVERLAP
36228676,2025-09-30 08:25:56,2025-09-30 08:30:17,Sell,0.01,12.91,6.79,1,2.3833333333333333,2.6,3,7,STATE_IMMEDIATE_CHAIN
36274877,2025-10-01 06:25:14,2025-10-01 06:29:01,Buy,0.01,2.01,12.91,1,4.35,1314.95,1,8,STATE_INTRADAY_PAUSE
36283671,2025-10-01 08:28:02,2025-10-01 08:34:32,Sell,0.01,6.25,2.01,1,3.783333333333333,119.01666666666667,2,9,STATE_ACTIVE_SEARCH
36322976,2025-10-02 05:13:35,2025-10-02 06:05:06,Buy,0.01,1.21,6.25,1,6.5,1239.05,1,10,STATE_INTRADAY_PAUSE
36334931,2025-10-02 12:17:55,2025-10-02 12:20:28,Buy,0.01,1.43,1.21,1,51.516666666666666,372.81666666666666,2,11,STATE_INTRADAY_PAUSE
36335183,2025-10-02 12:23:08,2025-10-02 12:31:38,Buy,0.01,1.32,1.43,1,2.55,2.6666666666666665,3,12,STATE_IMMEDIATE_CHAIN
36335196,2025-10-02 12:23:37,2025-10-02 12:31:34,Buy,0.01,1.22,1.32,1,8.5,-8.016666666666667,4,13,STATE_CONCURRENT_OVERLAP
36337657,2025-10-02 13:13:13,2025-10-02 13:16:03,Sell,0.01,1.81,1.22,1,7.95,41.65,5,14,STATE_ACTIVE_SEARCH
36368405,2025-10-03 07:17:25,2025-10-03 07:23:08,Buy,0.01,1.2,1.81,1,2.8333333333333335,1081.3666666666666,1,15,STATE_INTRADAY_PAUSE
36383087,2025-10-03 15:18:08,2025-10-03 15:22:57,Buy,0.01,7.8,1.2,1,5.716666666666667,475.0,2,16,STATE_INTRADAY_PAUSE
36414174,2025-10-06 09:14:39,2025-10-06 09:40:39,Sell,0.01,2.46,7.8,1,4.816666666666666,3951.7,1,17,STATE_INTRADAY_PAUSE
36416362,2025-10-06 11:10:55,2025-10-06 11:16:33,Sell,0.01,3.02,2.46,1,26.0,90.26666666666667,2,18,STATE_ACTIVE_SEARCH
36450406,2025-10-07 05:47:44,2025-10-07 05:53:06,Sell,0.01,-1.71,3.02,1,5.633333333333334,1111.1833333333334,1,19,STATE_INTRADAY_PAUSE
36450588,2025-10-07 05:53:49,2025-10-07 06:05:30,Sell,0.01,3.62,-1.71,0,5.366666666666666,0.7166666666666667,2,-1,STATE_IMMEDIATE_CHAIN
36451248,2025-10-07 06:17:36,2025-10-07 06:22:00,Buy,0.01,1.43,3.62,1,11.683333333333334,12.1,3,1,STATE_IMMEDIATE_CHAIN
36508294,2025-10-08 09:19:47,2025-10-08 09:32:57,Sell,0.02,4.98,1.43,1,4.4,1617.7833333333333,1,2,STATE_INTRADAY_PAUSE
36508676,2025-10-08 09:36:16,2025-10-08 09:39:56,Buy,0.01,2.27,4.98,1,13.166666666666666,3.316666666666667,2,3,STATE_IMMEDIATE_CHAIN
36508993,2025-10-08 09:42:32,2025-10-08 09:46:10,Buy,0.02,5.04,2.27,1,3.6666666666666665,2.6,3,4,STATE_IMMEDIATE_CHAIN
36561296,2025-10-09 11:04:35,2025-10-09 11:13:00,Sell,0.02,2.84,5.04,1,3.6333333333333333,1518.4166666666667,1,5,STATE_INTRADAY_PAUSE
36562289,2025-10-09 11:19:30,2025-10-09 11:33:44,Buy,0.01,4.04,2.84,1,8.416666666666666,6.5,2,6,STATE_IMMEDIATE_CHAIN
36562770,2025-10-09 11:42:13,2025-10-09 11:47:42,Buy,0.01,2.88,4.04,1,14.233333333333333,8.483333333333333,3,7,STATE_IMMEDIATE_CHAIN
36640713,2025-10-10 16:29:10,2025-10-10 16:33:56,Buy,0.02,4.56,2.88,1,5.483333333333333,1721.4666666666667,1,8,STATE_OVERNIGHT_DORMANT
