second_of_minute,trade_count,pct_of_trades,expected_uniform,chi2_contribution,execution_mode
0,4,0.9456264775413712,7.05,1.3195035460992905,Continuous Tick-Driven Event
1,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
2,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
3,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
4,12,2.8368794326241136,7.05,3.4755319148936175,Continuous Tick-Driven Event
5,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
6,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
7,4,0.9456264775413712,7.05,1.3195035460992905,Continuous Tick-Driven Event
8,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
9,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
10,10,2.3640661938534278,7.05,1.2343971631205675,Continuous Tick-Driven Event
11,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
12,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
13,4,0.9456264775413712,7.05,1.3195035460992905,Continuous Tick-Driven Event
14,12,2.8368794326241136,7.05,3.4755319148936175,Continuous Tick-Driven Event
15,4,0.9456264775413712,7.05,1.3195035460992905,Continuous Tick-Driven Event
16,9,2.127659574468085,7.05,0.5393617021276597,Continuous Tick-Driven Event
17,9,2.127659574468085,7.05,0.5393617021276597,Continuous Tick-Driven Event
18,10,2.3640661938534278,7.05,1.2343971631205675,Continuous Tick-Driven Event
19,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
20,4,0.9456264775413712,7.05,1.3195035460992905,Continuous Tick-Driven Event
21,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
22,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
23,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
24,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
25,3,0.7092198581560284,7.05,2.326595744680851,Continuous Tick-Driven Event
26,12,2.8368794326241136,7.05,3.4755319148936175,Continuous Tick-Driven Event
27,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
28,4,0.9456264775413712,7.05,1.3195035460992905,Continuous Tick-Driven Event
29,3,0.7092198581560284,7.05,2.326595744680851,Continuous Tick-Driven Event
30,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
31,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
32,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
33,11,2.6004728132387704,7.05,2.2131205673758867,Continuous Tick-Driven Event
34,1,0.2364066193853428,7.05,5.191843971631205,Continuous Tick-Driven Event
35,11,2.6004728132387704,7.05,2.2131205673758867,Continuous Tick-Driven Event
36,4,0.9456264775413712,7.05,1.3195035460992905,Continuous Tick-Driven Event
37,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
38,2,0.4728132387706856,7.05,3.6173758865248224,Continuous Tick-Driven Event
39,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
40,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
41,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
42,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
43,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
44,8,1.8912529550827424,7.05,0.12801418439716317,Continuous Tick-Driven Event
45,9,2.127659574468085,7.05,0.5393617021276597,Continuous Tick-Driven Event
46,10,2.3640661938534278,7.05,1.2343971631205675,Continuous Tick-Driven Event
47,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
48,7,1.6548463356973995,7.05,0.00035460992907801166,Continuous Tick-Driven Event
49,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
50,10,2.3640661938534278,7.05,1.2343971631205675,Continuous Tick-Driven Event
51,15,3.546099290780142,7.05,8.964893617021277,Continuous Tick-Driven Event
52,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
53,9,2.127659574468085,7.05,0.5393617021276597,Continuous Tick-Driven Event
54,9,2.127659574468085,7.05,0.5393617021276597,Continuous Tick-Driven Event
55,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
56,10,2.3640661938534278,7.05,1.2343971631205675,Continuous Tick-Driven Event
57,6,1.4184397163120568,7.05,0.1563829787234042,Continuous Tick-Driven Event
58,5,1.1820330969267139,7.05,0.5960992907801418,Continuous Tick-Driven Event
59,10,2.3640661938534278,7.05,1.2343971631205675,Continuous Tick-Driven Event
