trigger_type,threshold_val,description,event_count,event_pct_of_bars,real_trades_matched,recall_pct,precision_pct,snr_ratio
Persistent State (Level Trigger),0.1,|return_1| >= $0.10 while eligible,180198,44.80854206504522,346,81.7966903073286,0.1920110101111,0.0019238039973608503
Rising Edge (First Crossing),0.1,|return_1|_t >= $0.10 and |return_1|_(t-1) < $0.10,5686,1.4138967701186869,99,23.404255319148938,1.741118536756947,0.017719706281091374
Persistent State (Level Trigger),0.2,|return_1| >= $0.20 while eligible,174785,43.462530243614964,346,81.7966903073286,0.1979574906313471,0.001983501376029083
Rising Edge (First Crossing),0.2,|return_1|_t >= $0.20 and |return_1|_(t-1) < $0.20,10505,2.61220287901808,157,37.11583924349882,1.4945264159923846,0.01517201376171047
Persistent State (Level Trigger),0.3,|return_1| >= $0.30 while eligible,169206,42.07524039477708,346,81.7966903073286,0.20448447454581986,0.0020490346827721803
Rising Edge (First Crossing),0.3,|return_1|_t >= $0.30 and |return_1|_(t-1) < $0.30,15060,3.7448620045704226,203,47.99054373522459,1.3479415670650732,0.013663592780659822
Persistent State (Level Trigger),0.4,|return_1| >= $0.40 while eligible,163967,40.77249590328011,346,81.7966903073286,0.21101807070935005,0.0021146429647336427
Rising Edge (First Crossing),0.4,|return_1|_t >= $0.40 and |return_1|_(t-1) < $0.40,18959,4.714398323017971,231,54.60992907801418,1.2184186929690386,0.012334472322805821
Persistent State (Level Trigger),0.5,|return_1| >= $0.50 while eligible,158618,39.4423985020552,346,81.7966903073286,0.21813413357878678,0.0021861099659600948
Rising Edge (First Crossing),0.5,|return_1|_t >= $0.50 and |return_1|_(t-1) < $0.50,22589,5.617044344039925,261,61.702127659574465,1.1554296338926027,0.011689358534552618
Persistent State (Level Trigger),0.75,|return_1| >= $0.75 while eligible,145652,36.21823643357843,346,81.7966903073286,0.23755252245077307,0.002381181758026242
Rising Edge (First Crossing),0.75,|return_1|_t >= $0.75 and |return_1|_(t-1) < $0.75,29952,7.447948656101812,301,71.15839243498819,1.0049412393162394,0.010151428179806557
Persistent State (Level Trigger),1.0,|return_1| >= $1.00 while eligible,133154,33.11044856285326,346,81.7966903073286,0.25984949757423736,0.0026052647169672446
Rising Edge (First Crossing),1.0,|return_1|_t >= $1.00 and |return_1|_(t-1) < $1.00,35131,8.735773378656276,318,75.177304964539,0.9051834562067689,0.009134518622093822
